dataset,mi_mode,mi_top_k,model,acc_mean,acc_std,f1_mean,f1_std,nauck_mean,nauck_std,chfs_mean,chfs_std,c_rb_mean,c_rb_std,c_s_mean,c_s_std,n_layers_mean,n_layers_std,n_modules_mean,n_modules_std,n_rules_total_mean,n_rules_total_std,n_rules_active_mean,n_rules_active_std,avg_antecedent_len_mean,avg_antecedent_len_std,n_folds,nauck_method
Breast_Cancer_Wisconsin_(Original),mi_top100,100,PH-ANFIS(Avg),0.967091,0.009705,0.953609,0.013506,0.000614,0.000020,641.500000,0.000000,1280.000000,0.000000,3.000000,0.000000,1.000000,0.000000,2.000000,0.000000,32.000000,0.000000,32.000000,0.000000,40.000000,0.000000,5,hierarchical_hfsi_eq6_eq7_1layer_parallel_mi_randomsplit
Breast_Cancer_Wisconsin_(Original),mi_top100,100,PH-ANFIS(Stacked),0.951357,0.005366,0.929199,0.007116,0.005817,0.000335,650.500000,0.000000,1296.000000,0.000000,5.000000,0.000000,2.000000,0.000000,3.000000,0.000000,40.000000,0.000000,40.000000,0.000000,32.400000,0.000000,5,hierarchical_hfsi_eq6_eq7_2layer_parallel_mi_randomsplit
Breast_Cancer_Wisconsin_(Original),no_mi,0,PH-ANFIS(Avg),0.961367,0.005762,0.945001,0.008217,0.000615,0.000019,641.500000,0.000000,1280.000000,0.000000,3.000000,0.000000,1.000000,0.000000,2.000000,0.000000,32.000000,0.000000,32.000000,0.000000,40.000000,0.000000,5,hierarchical_hfsi_eq6_eq7_1layer_parallel_mi_randomsplit
Breast_Cancer_Wisconsin_(Original),no_mi,0,PH-ANFIS(Stacked),0.958510,0.016543,0.941329,0.023752,0.006412,0.000541,650.500000,0.000000,1296.000000,0.000000,5.000000,0.000000,2.000000,0.000000,3.000000,0.000000,40.000000,0.000000,40.000000,0.000000,32.400000,0.000000,5,hierarchical_hfsi_eq6_eq7_2layer_parallel_mi_randomsplit
Gisette,mi_top100,100,PH-ANFIS(Avg),0.947833,0.005390,0.947923,0.005250,0.000570,0.000016,701.500000,0.000000,1400.000000,0.000000,3.000000,0.000000,1.000000,0.000000,2.000000,0.000000,28.000000,0.000000,28.000000,0.000000,50.000000,0.000000,5,hierarchical_hfsi_eq6_eq7_1layer_parallel_mi_randomsplit
Gisette,mi_top100,100,PH-ANFIS(Stacked),0.950000,0.006646,0.950186,0.006557,0.006458,0.000228,708.500000,0.000000,1412.000000,0.000000,5.000000,0.000000,2.000000,0.000000,3.000000,0.000000,34.000000,0.000000,34.000000,0.000000,41.529412,0.000000,5,hierarchical_hfsi_eq6_eq7_2layer_parallel_mi_randomsplit
Gisette,no_mi,0,PH-ANFIS(Avg),0.500000,0.000000,0.666667,0.000000,0.000007,0.000000,35001.500000,0.000000,70000.000000,0.000000,3.000000,0.000000,1.000000,0.000000,2.000000,0.000000,28.000000,0.000000,28.000000,0.000000,2500.000000,0.000000,5,hierarchical_hfsi_eq6_eq7_1layer_parallel_mi_randomsplit
Gisette,no_mi,0,PH-ANFIS(Stacked),0.500000,0.000000,0.666667,0.000000,0.008095,0.000000,35008.500000,0.000000,70012.000000,0.000000,5.000000,0.000000,2.000000,0.000000,3.000000,0.000000,34.000000,0.000000,34.000000,0.000000,2059.176471,0.000000,5,hierarchical_hfsi_eq6_eq7_2layer_parallel_mi_randomsplit
Spambase,mi_top100,100,PH-ANFIS(Avg),0.931105,0.007915,0.911080,0.010163,0.000440,0.000023,571.500000,0.000000,1140.000000,0.000000,3.000000,0.000000,1.000000,0.000000,2.000000,0.000000,40.000000,0.000000,40.000000,0.000000,28.500000,0.000000,5,hierarchical_hfsi_eq6_eq7_1layer_parallel_mi_randomsplit
Spambase,mi_top100,100,PH-ANFIS(Stacked),0.928714,0.006931,0.908780,0.008350,0.005023,0.000414,580.500000,0.000000,1156.000000,0.000000,5.000000,0.000000,2.000000,0.000000,3.000000,0.000000,48.000000,0.000000,48.000000,0.000000,24.083333,0.000000,5,hierarchical_hfsi_eq6_eq7_2layer_parallel_mi_randomsplit
Spambase,no_mi,0,PH-ANFIS(Avg),0.934145,0.008869,0.915289,0.011449,0.000449,0.000015,571.500000,0.000000,1140.000000,0.000000,3.000000,0.000000,1.000000,0.000000,2.000000,0.000000,40.000000,0.000000,40.000000,0.000000,28.500000,0.000000,5,hierarchical_hfsi_eq6_eq7_1layer_parallel_mi_randomsplit
Spambase,no_mi,0,PH-ANFIS(Stacked),0.929366,0.007471,0.909532,0.009735,0.005474,0.000344,580.500000,0.000000,1156.000000,0.000000,5.000000,0.000000,2.000000,0.000000,3.000000,0.000000,48.000000,0.000000,48.000000,0.000000,24.083333,0.000000,5,hierarchical_hfsi_eq6_eq7_2layer_parallel_mi_randomsplit
Vowel,mi_top100,100,PH-ANFIS(Avg),0.947475,0.013401,0.946830,0.013785,0.025597,0.000632,262.500000,0.000000,522.000000,0.000000,3.000000,0.000000,1.000000,0.000000,2.000000,0.000000,36.000000,0.000000,36.000000,0.000000,14.500000,0.000000,5,hierarchical_hfsi_eq6_eq7_1layer_parallel_mi_randomsplit
Vowel,mi_top100,100,PH-ANFIS(Stacked),0.975758,0.012121,0.975592,0.012402,0.024643,0.000349,351.500000,0.000000,698.000000,0.000000,5.000000,0.000000,2.000000,0.000000,3.000000,0.000000,44.000000,0.000000,44.000000,0.000000,15.863636,0.000000,5,hierarchical_hfsi_eq6_eq7_2layer_parallel_mi_randomsplit
Vowel,no_mi,0,PH-ANFIS(Avg),0.931313,0.009367,0.930779,0.009339,0.025603,0.001043,262.500000,0.000000,522.000000,0.000000,3.000000,0.000000,1.000000,0.000000,2.000000,0.000000,36.000000,0.000000,36.000000,0.000000,14.500000,0.000000,5,hierarchical_hfsi_eq6_eq7_1layer_parallel_mi_randomsplit
Vowel,no_mi,0,PH-ANFIS(Stacked),0.974747,0.004517,0.974790,0.004448,0.024682,0.000884,351.500000,0.000000,698.000000,0.000000,5.000000,0.000000,2.000000,0.000000,3.000000,0.000000,44.000000,0.000000,44.000000,0.000000,15.863636,0.000000,5,hierarchical_hfsi_eq6_eq7_2layer_parallel_mi_randomsplit
