dataset,fold,mode,branch,status,error,n_train,n_test,n_features,n_outputs,task_kind,base_rules,residual_rules,mf_per_feature,rule_init_mode,rule_seed,epochs_stage1,base_hard_epochs,epochs_stage2,residual_hard_epochs,acc,f1,loss,logits_nan_count,logits_inf_count,param_nan_count,param_inf_count,train_loss_final,runtime_sec,raw_zero_rate,raw_near_zero_rate,log_underflow_pred_rate,max_norm_weight_mean,max_norm_weight_p95,max_norm_weight_max,entropy_mean,effective_rule_count_mean,nan_count,inf_count
vowel,1,prod,base,ok,,660,330,26,11,multiclass,6,11,2,balanced,0,80,30,40,20,0.9484848484848485,0.9481835197441724,0.20844657719135284,0,0,0,0,0.009835985489189625,5.448672294616699,0.0,0.0,0.0,0.7244802117347717,0.9955822229385376,0.9986944198608398,0.719396710395813,2.243443012237549,0,0
vowel,1,prod,residual,ok,,660,330,26,11,multiclass,6,11,2,balanced,0,80,30,40,20,0.9484848484848485,0.9481835197441724,0.20844657719135284,0,0,0,0,0.009835985489189625,5.448672294616699,0.0,0.0,0.0,0.09090907126665115,0.09090908616781235,0.09090908616781235,2.397895574569702,11.000000953674316,0,0
vowel,1,htsk,base,ok,,660,330,26,11,multiclass,6,11,2,balanced,0,80,30,40,20,0.9484848484848485,0.9483436766653999,0.13794241845607758,0,0,0,0,0.025190824642777443,4.192548036575317,0.0,0.0,0.0,0.4824681580066681,0.8011422753334045,0.8900604844093323,1.3951175212860107,4.181843280792236,0,0
vowel,1,htsk,residual,ok,,660,330,26,11,multiclass,6,11,2,balanced,0,80,30,40,20,0.9484848484848485,0.9483436766653999,0.13794241845607758,0,0,0,0,0.025190824642777443,4.192548036575317,0.0,0.0,0.0,0.09090907126665115,0.09090908616781235,0.09090908616781235,2.397895574569702,11.000000953674316,0,0
vowel,2,prod,base,ok,,660,330,26,11,multiclass,6,11,2,balanced,0,80,30,40,20,0.9242424242424242,0.923585966186172,0.2758643329143524,0,0,0,0,0.014253459870815277,4.0747597217559814,0.0,0.0,0.0,0.7080099582672119,0.9898256063461304,0.9989299178123474,0.7569669485092163,2.313417434692383,0,0
vowel,2,prod,residual,ok,,660,330,26,11,multiclass,6,11,2,balanced,0,80,30,40,20,0.9242424242424242,0.923585966186172,0.2758643329143524,0,0,0,0,0.014253459870815277,4.0747597217559814,0.0,0.0,0.0,0.09090907126665115,0.09090908616781235,0.09090908616781235,2.397895574569702,11.000000953674316,0,0
vowel,2,htsk,base,ok,,660,330,26,11,multiclass,6,11,2,balanced,0,80,30,40,20,0.9272727272727272,0.9264279158186305,0.2674853503704071,0,0,0,0,0.02353224903345108,4.214153528213501,0.0,0.0,0.0,0.4880957305431366,0.7726578116416931,0.8244965076446533,1.3893617391586304,4.115410804748535,0,0
vowel,2,htsk,residual,ok,,660,330,26,11,multiclass,6,11,2,balanced,0,80,30,40,20,0.9272727272727272,0.9264279158186305,0.2674853503704071,0,0,0,0,0.02353224903345108,4.214153528213501,0.0,0.0,0.0,0.09090907126665115,0.09090908616781235,0.09090908616781235,2.397895574569702,11.000000953674316,0,0
vowel,3,prod,base,ok,,660,330,26,11,multiclass,6,11,2,balanced,0,80,30,40,20,0.9303030303030303,0.9299623514654005,0.22031931579113007,0,0,0,0,0.009043678641319275,4.1857874393463135,0.0,0.0,0.0,0.7332000732421875,0.9760959148406982,0.9960432052612305,0.7031646966934204,2.1782877445220947,0,0
vowel,3,prod,residual,ok,,660,330,26,11,multiclass,6,11,2,balanced,0,80,30,40,20,0.9303030303030303,0.9299623514654005,0.22031931579113007,0,0,0,0,0.009043678641319275,4.1857874393463135,0.0,0.0,0.0,0.09090907126665115,0.09090908616781235,0.09090908616781235,2.397895574569702,11.000000953674316,0,0
vowel,3,htsk,base,ok,,660,330,26,11,multiclass,6,11,2,balanced,0,80,30,40,20,0.9575757575757575,0.9573550592366226,0.1230907216668129,0,0,0,0,0.02711685374379158,4.21017861366272,0.0,0.0,0.0,0.5161731243133545,0.7832146883010864,0.8758665919303894,1.2934972047805786,3.7607219219207764,0,0
