dataset,fold,seed,lambda_sparsity,lambda_base_s1,lambda_resid_s2,input_dim,n_train,n_eval,task_kind,base_selected,residual_self_selected,residual_effective_selected,full_selected,primary_complementary_overlap,primary_residual_self_overlap,base_acc,base_f1,residual_acc,residual_f1,full_acc,full_f1
Gisette,1,0,0.0,0.0,0.0,5000,4800,1200,binary,4160,4445,285,4445,0,4160,0.9758333333333333,0.9757322175732217,0.4825,0.5212027756360833,0.9766666666666667,0.9765886287625418
Gisette,1,1,0.0,0.0,0.0,5000,4800,1200,binary,4113,4471,358,4471,0,4113,0.9766666666666667,0.9766277128547579,0.49166666666666664,0.5440956651718983,0.9766666666666667,0.9766666666666667
Gisette,1,2,0.0,0.0,0.0,5000,4800,1200,binary,4224,4473,249,4473,0,4224,0.9733333333333334,0.9732441471571907,0.4691666666666667,0.4633529907329402,0.9733333333333334,0.9732441471571907
Gisette,1,3,0.0,0.0,0.0,5000,4800,1200,binary,4149,4494,345,4494,0,4149,0.9741666666666666,0.9741451209341118,0.5425,0.5481481481481482,0.9766666666666667,0.9765886287625418
Gisette,1,4,0.0,0.0,0.0,5000,4800,1200,binary,4136,4451,315,4451,0,4136,0.9733333333333334,0.9733333333333334,0.4891666666666667,0.4878863826232247,0.9741666666666666,0.9741451209341118
Gisette,1,0,0.01,0.01,0.01,5000,4800,1200,binary,2309,2354,45,2354,0,2309,0.9766666666666667,0.9765494137353434,0.5225,0.606726149622512,0.975,0.9749163879598662
Gisette,1,1,0.01,0.01,0.01,5000,4800,1200,binary,2339,2474,135,2474,0,2339,0.9741666666666666,0.9740585774058578,0.4225,0.4388663967611336,0.975,0.9749163879598662
Gisette,1,2,0.01,0.01,0.01,5000,4800,1200,binary,2337,2441,104,2441,0,2337,0.9775,0.9774436090225563,0.6125,0.6197874080130826,0.9766666666666667,0.9765886287625418
Gisette,1,3,0.01,0.01,0.01,5000,4800,1200,binary,2336,2444,108,2444,0,2336,0.9775,0.9774436090225563,0.4841666666666667,0.40077444336882867,0.9783333333333334,0.9782971619365609
Gisette,1,4,0.01,0.01,0.01,5000,4800,1200,binary,2310,2369,59,2369,0,2310,0.9733333333333334,0.9732888146911519,0.5233333333333333,0.5249169435215947,0.9716666666666667,0.9715719063545151
Gisette,1,0,0.1,0.1,0.1,5000,4800,1200,binary,334,335,1,335,0,334,0.97,0.97,0.49916666666666665,0.0,0.9691666666666666,0.969140950792327
Gisette,1,1,0.1,0.1,0.1,5000,4800,1200,binary,331,333,2,333,0,331,0.9725,0.9725228975853455,0.49833333333333335,0.23604060913705585,0.9733333333333334,0.9732888146911519
Gisette,1,2,0.1,0.1,0.1,5000,4800,1200,binary,333,333,0,333,0,333,0.9666666666666667,0.9666666666666667,0.5,0.0,0.9675,0.9674728940783986
Gisette,1,3,0.1,0.1,0.1,5000,4800,1200,binary,331,332,1,332,0,331,0.9683333333333334,0.9682804674457429,0.5066666666666667,0.029508196721311476,0.9683333333333334,0.9682804674457429
Gisette,1,4,0.1,0.1,0.1,5000,4800,1200,binary,328,328,0,328,0,328,0.9725,0.9724770642201835,0.5,0.6666666666666666,0.9716666666666667,0.9716666666666667
