dataset,tau,n,base_acc_mean,base_acc_std,base_acc_min,base_acc_max,base_f1_mean,base_f1_std,base_f1_min,base_f1_max,residual_acc_mean,residual_acc_std,residual_acc_min,residual_acc_max,residual_f1_mean,residual_f1_std,residual_f1_min,residual_f1_max,full_acc_mean,full_acc_std,full_acc_min,full_acc_max,full_f1_mean,full_f1_std,full_f1_min,full_f1_max,base_selected_mean,base_selected_std,base_selected_min,base_selected_max,residual_effective_selected_mean,residual_effective_selected_std,residual_effective_selected_min,residual_effective_selected_max,full_selected_mean,full_selected_std,full_selected_min,full_selected_max,primary_complementary_overlap_mean,primary_complementary_overlap_std,primary_complementary_overlap_min,primary_complementary_overlap_max,primary_residual_self_overlap_mean,primary_residual_self_overlap_std,primary_residual_self_overlap_min,primary_residual_self_overlap_max,base_mask_jaccard_mean,residual_effective_mask_jaccard_mean,full_mask_jaccard_mean
Breast_Cancer_Wisconsin_(Original),0.3,5,0.9713977389516957,0.006354499598061751,0.9642857142857143,0.9785714285714285,0.9583115576614455,0.010116686122674782,0.946236559139785,0.9696969696969697,0.3790647482014389,0.23527322721176955,0.17857142857142858,0.8285714285714286,0.46226766221227056,0.1455772947768909,0.294478527607362,0.6842105263157895,0.968530318602261,0.0072686360824109645,0.9571428571428572,0.9785714285714285,0.9544562119848837,0.010836213654327137,0.9375,0.9696969696969697,8.2,0.4,8.0,9.0,0.8,0.4,0.0,1.0,9.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,8.2,0.4,8.0,9.0,0.9555555555555555,0.6,1.0
Breast_Cancer_Wisconsin_(Original),0.4,5,0.9699588900308325,0.005334860038925466,0.9642857142857143,0.9785714285714285,0.9563901637209907,0.008383726757084311,0.9473684210526315,0.9696969696969697,0.486207605344296,0.25080040135104015,0.17857142857142858,0.8285714285714286,0.5442413795744592,0.1546692696326322,0.294478527607362,0.7551020408163265,0.9728057553956834,0.0070619460796757716,0.9640287769784173,0.9785714285714285,0.96135799146925,0.009727097380744162,0.9484536082474226,0.9696969696969697,7.2,0.9797958971132712,6.0,8.0,1.8,0.9797958971132713,1.0,3.0,9.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,7.2,0.9797958971132712,6.0,8.0,0.8214285714285715,0.5499999999999999,1.0
Breast_Cancer_Wisconsin_(Original),0.5,5,0.9713977389516957,0.006354499598061751,0.9642857142857143,0.9785714285714285,0.9585379300440147,0.009853193571494607,0.9473684210526315,0.9696969696969697,0.6611510791366906,0.24355582281210802,0.17857142857142858,0.8285714285714286,0.6079832025892651,0.16137067436278332,0.294478527607362,0.7551020408163265,0.9742548818088386,0.005691448446379096,0.9642857142857143,0.9785714285714285,0.9629707553124343,0.008206962244736325,0.9484536082474226,0.9690721649484536,6.6,0.7999999999999999,6.0,8.0,2.4,0.8,1.0,3.0,9.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,6.6,0.7999999999999999,6.0,8.0,0.7892857142857143,0.5083333333333333,1.0
Breast_Cancer_Wisconsin_(Original),0.6,5,0.9699691675231243,0.0052959111011713685,0.9642857142857143,0.9784172661870504,0.9564822402102457,0.007959285434633433,0.9473684210526315,0.9690721649484536,0.6611510791366906,0.24355582281210802,0.17857142857142858,0.8285714285714286,0.6079832025892651,0.16137067436278332,0.294478527607362,0.7551020408163265,0.9699691675231243,0.006960950916133234,0.9642857142857143,0.9785714285714285,0.9569092991773402,0.009938215201429193,0.9484536082474226,0.9690721649484536,5.8,0.7483314773547882,5.0,7.0,2.4,0.8,1.0,3.0,8.2,0.7483314773547882,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7404761904761904,0.5083333333333333,0.8222222222222222
Breast_Cancer_Wisconsin_(Original),0.7,5,0.958530318602261,0.01935096511047999,0.9214285714285714,0.9714285714285714,0.9392692560895327,0.02978446997614984,0.8817204301075269,0.9591836734693877,0.6611510791366906,0.24355582281210802,0.17857142857142858,0.8285714285714286,0.6079832025892651,0.16137067436278332,0.294478527607362,0.7551020408163265,0.9570914696813977,0.011032925073811595,0.9357142857142857,0.9642857142857143,0.9372085570493234,0.01752450700887886,0.9032258064516129,0.9494949494949495,5.0,1.0954451150103321,4.0,7.0,2.4,0.8,1.0,3.0,7.4,0.7999999999999999,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7371428571428571,0.5083333333333333,0.7222222222222222
Gisette,0.3,5,0.9754999999999999,0.004490731195102491,0.9666666666666667,0.9791666666666666,0.9755025110204187,0.004387122534092396,0.9668874172185431,0.9791492910758965,0.5,0.0,0.5,0.5,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.9756666666666668,0.004576510072581995,0.9666666666666667,0.9791666666666666,0.9756732216032196,0.004475058042517368,0.9668874172185431,0.9791492910758965,5000.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,5000.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,5000.0,0.0,5000.0,5000.0,1.0,1.0,1.0
Gisette,0.4,5,0.9754999999999999,0.004490731195102491,0.9666666666666667,0.9791666666666666,0.9755025110204187,0.004387122534092396,0.9668874172185431,0.9791492910758965,0.5,0.0,0.5,0.5,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.9756666666666668,0.004576510072581995,0.9666666666666667,0.9791666666666666,0.9756732216032196,0.004475058042517368,0.9668874172185431,0.9791492910758965,5000.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,5000.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,5000.0,0.0,5000.0,5000.0,1.0,1.0,1.0
Gisette,0.5,5,0.9754999999999999,0.004490731195102491,0.9666666666666667,0.9791666666666666,0.9755025110204187,0.004387122534092396,0.9668874172185431,0.9791492910758965,0.45899999999999996,0.029792803008631307,0.425,0.495,0.48314651583531953,0.029945782510308598,0.4558359621451104,0.5216706067769897,0.9758333333333334,0.004249182927993981,0.9675,0.9791666666666666,0.975840669207714,0.00416526923153449,0.9676884838442419,0.9791492910758965,2408.8,21.008569680013917,2391.0,2448.0,272.0,15.53061492665374,244.0,289.0,2680.8,30.347322781425053,2645.0,2729.0,0.0,0.0,0.0,0.0,2408.8,21.008569680013917,2391.0,2448.0,0.5841957100412423,0.12523590604015386,0.6011126167161028
Gisette,0.6,5,0.5,0.0,0.5,0.5,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.5,0.0,0.5,0.5,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.5,0.0,0.5,0.5,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Gisette,0.7,5,0.5,0.0,0.5,0.5,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.5,0.0,0.5,0.5,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.5,0.0,0.5,0.5,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Spambase,0.3,5,0.9169751687674079,0.008893932974180063,0.9021739130434783,0.9293478260869565,0.8974664741902103,0.009682489755292158,0.8828125,0.912043301759134,0.46359155926922535,0.051185365883693906,0.40108695652173915,0.5532608695652174,0.3884175827519756,0.09795196115167473,0.22889305816135083,0.5190380761523046,0.9211056035500166,0.006807298100469462,0.9141304347826087,0.9315217391304348,0.9017670564753957,0.007591404123945514,0.8945260347129506,0.912621359223301,40.6,1.3564659966250538,39.0,42.0,16.4,1.3564659966250538,15.0,18.0,57.0,0.0,57.0,57.0,0.0,0.0,0.0,0.0,40.6,1.3564659966250538,39.0,42.0,0.9023456180801614,0.7744289645682835,1.0
Spambase,0.4,5,0.9250174668366142,0.0067915508585103986,0.9163043478260869,0.9347826086956522,0.9060642686712003,0.008484927639551594,0.8963660834454913,0.9184782608695652,0.6150873341830713,0.07220571951297959,0.4934782608695652,0.716304347826087,0.5377746301861711,0.06850862234192051,0.4337748344370861,0.6244604316546762,0.9248005476089316,0.008187361581878279,0.9174809989142236,0.9358695652173913,0.9056525944830554,0.00993788639614995,0.8959778085991679,0.9192886456908345,34.2,0.7483314773547882,33.0,35.0,22.6,0.4898979485566356,22.0,23.0,56.8,0.4,56.0,57.0,0.0,0.0,0.0,0.0,34.2,0.7483314773547882,33.0,35.0,0.8206659797449272,0.7348575498575499,0.9929824561403509
