dataset,fold,seed,lambda_sparsity,lambda_base_s1,lambda_resid_s2,input_dim,n_train,n_eval,task_kind,base_selected,residual_self_selected,residual_effective_selected,full_selected,primary_complementary_overlap,primary_residual_self_overlap,base_acc,base_f1,residual_acc,residual_f1,full_acc,full_f1
Gisette,1,0,0.0,0.0,0.0,5000,4800,1200,binary,4154,4561,407,4561,0,4154,0.9741666666666666,0.9741019214703425,0.5233333333333333,0.5177065767284992,0.975,0.9749163879598662
Gisette,1,1,0.0,0.0,0.0,5000,4800,1200,binary,4164,4532,368,4532,0,4164,0.9758333333333333,0.9757322175732217,0.5133333333333333,0.5244299674267101,0.9766666666666667,0.9765886287625418
Gisette,1,2,0.0,0.0,0.0,5000,4800,1200,binary,4143,4519,376,4519,0,4143,0.975,0.9749582637729549,0.45,0.4397283531409168,0.9741666666666666,0.9741451209341118
Gisette,1,3,0.0,0.0,0.0,5000,4800,1200,binary,4128,4519,391,4519,0,4128,0.9733333333333334,0.9732441471571907,0.48083333333333333,0.47778709136630343,0.975,0.9749582637729549
Gisette,1,4,0.0,0.0,0.0,5000,4800,1200,binary,4149,4588,439,4588,0,4149,0.975,0.9749163879598662,0.5,0.5495495495495496,0.975,0.9749163879598662
Gisette,1,0,0.01,0.01,0.01,5000,4800,1200,binary,2389,2395,6,2395,0,2389,0.9758333333333333,0.9757727652464494,0.49,0.5453194650817236,0.9758333333333333,0.9757727652464494
Gisette,1,1,0.01,0.01,0.01,5000,4800,1200,binary,2378,2386,8,2386,0,2378,0.975,0.9749582637729549,0.44166666666666665,0.34951456310679613,0.975,0.9749582637729549
Gisette,1,2,0.01,0.01,0.01,5000,4800,1200,binary,2390,2393,3,2393,0,2390,0.9775,0.9774436090225563,0.4741666666666667,0.21026282853566958,0.9775,0.9774436090225563
Gisette,1,3,0.01,0.01,0.01,5000,4800,1200,binary,2395,2402,7,2402,0,2395,0.9758333333333333,0.9757322175732217,0.4816666666666667,0.5323308270676692,0.975,0.9748743718592965
Gisette,1,4,0.01,0.01,0.01,5000,4800,1200,binary,2420,2422,2,2422,0,2420,0.9758333333333333,0.97581317764804,0.38,0.14482758620689656,0.9766666666666667,0.9766277128547579
Gisette,1,0,0.1,0.1,0.1,5000,4800,1200,binary,367,367,0,367,0,367,0.97,0.97,0.5,0.0,0.9691666666666666,0.969140950792327
Gisette,1,1,0.1,0.1,0.1,5000,4800,1200,binary,357,357,0,357,0,357,0.9716666666666667,0.9716666666666667,0.5,0.0,0.9716666666666667,0.9716666666666667
Gisette,1,2,0.1,0.1,0.1,5000,4800,1200,binary,362,362,0,362,0,362,0.9683333333333334,0.9683860232945092,0.5,0.6666666666666666,0.9683333333333334,0.9683860232945092
Gisette,1,3,0.1,0.1,0.1,5000,4800,1200,binary,353,353,0,353,0,353,0.9716666666666667,0.9716666666666667,0.5,0.0,0.9708333333333333,0.9708090075062552
Gisette,1,4,0.1,0.1,0.1,5000,4800,1200,binary,351,351,0,351,0,351,0.9666666666666667,0.966499162479062,0.5,0.6666666666666666,0.9658333333333333,0.9656903765690377
