dataset,fold,tau,n_eval,input_dim,task_kind,payload_path,lambda_base_s1,lambda_resid_s2,base_selected,residual_self_selected,residual_effective_selected,full_selected,primary_complementary_overlap,primary_residual_self_overlap,base_acc,base_f1,residual_acc,residual_f1,full_acc,full_f1
Breast_Cancer_Wisconsin_(Original),1,0.3,140,9,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Breast_Cancer_Wisconsin__Original___no_mi/fold_01/gh_anfis.pt,0.0,0.0,8,9,1,9,0,8,0.9642857142857143,0.946236559139785,0.8285714285714286,0.6842105263157895,0.9714285714285714,0.9574468085106383
Breast_Cancer_Wisconsin_(Original),1,0.4,140,9,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Breast_Cancer_Wisconsin__Original___no_mi/fold_01/gh_anfis.pt,0.0,0.0,6,9,3,9,0,6,0.9642857142857143,0.9473684210526315,0.7357142857142858,0.6476190476190476,0.9785714285714285,0.9690721649484536
Breast_Cancer_Wisconsin_(Original),1,0.5,140,9,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Breast_Cancer_Wisconsin__Original___no_mi/fold_01/gh_anfis.pt,0.0,0.0,6,9,3,9,0,6,0.9642857142857143,0.9473684210526315,0.7357142857142858,0.6476190476190476,0.9785714285714285,0.9690721649484536
Breast_Cancer_Wisconsin_(Original),1,0.6,140,9,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Breast_Cancer_Wisconsin__Original___no_mi/fold_01/gh_anfis.pt,0.0,0.0,6,3,3,9,0,0,0.9642857142857143,0.9473684210526315,0.7357142857142858,0.6476190476190476,0.9785714285714285,0.9690721649484536
Breast_Cancer_Wisconsin_(Original),1,0.7,140,9,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Breast_Cancer_Wisconsin__Original___no_mi/fold_01/gh_anfis.pt,0.0,0.0,4,3,3,7,0,0,0.9214285714285714,0.8817204301075269,0.7357142857142858,0.6476190476190476,0.9357142857142857,0.9032258064516129
Breast_Cancer_Wisconsin_(Original),2,0.3,140,9,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Breast_Cancer_Wisconsin__Original___no_mi/fold_02/gh_anfis.pt,0.0,0.0,8,9,1,9,0,8,0.9714285714285714,0.9591836734693877,0.17857142857142858,0.294478527607362,0.9642857142857143,0.9484536082474226
Breast_Cancer_Wisconsin_(Original),2,0.4,140,9,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Breast_Cancer_Wisconsin__Original___no_mi/fold_02/gh_anfis.pt,0.0,0.0,8,9,1,9,0,8,0.9714285714285714,0.9591836734693877,0.17857142857142858,0.294478527607362,0.9642857142857143,0.9484536082474226
Breast_Cancer_Wisconsin_(Original),2,0.5,140,9,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Breast_Cancer_Wisconsin__Original___no_mi/fold_02/gh_anfis.pt,0.0,0.0,8,9,1,9,0,8,0.9714285714285714,0.9591836734693877,0.17857142857142858,0.294478527607362,0.9642857142857143,0.9484536082474226
Breast_Cancer_Wisconsin_(Original),2,0.6,140,9,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Breast_Cancer_Wisconsin__Original___no_mi/fold_02/gh_anfis.pt,0.0,0.0,7,1,1,8,0,0,0.9714285714285714,0.9591836734693877,0.17857142857142858,0.294478527607362,0.9642857142857143,0.9484536082474226
Breast_Cancer_Wisconsin_(Original),2,0.7,140,9,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Breast_Cancer_Wisconsin__Original___no_mi/fold_02/gh_anfis.pt,0.0,0.0,7,1,1,8,0,0,0.9714285714285714,0.9591836734693877,0.17857142857142858,0.294478527607362,0.9642857142857143,0.9484536082474226
Breast_Cancer_Wisconsin_(Original),3,0.3,140,9,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Breast_Cancer_Wisconsin__Original___no_mi/fold_03/gh_anfis.pt,0.0,0.0,8,9,1,9,0,8,0.9785714285714285,0.9696969696969697,0.34285714285714286,0.5106382978723404,0.9785714285714285,0.9696969696969697
Breast_Cancer_Wisconsin_(Original),3,0.4,140,9,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Breast_Cancer_Wisconsin__Original___no_mi/fold_03/gh_anfis.pt,0.0,0.0,8,9,1,9,0,8,0.9785714285714285,0.9696969696969697,0.34285714285714286,0.5106382978723404,0.9785714285714285,0.9696969696969697
Breast_Cancer_Wisconsin_(Original),3,0.5,140,9,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Breast_Cancer_Wisconsin__Original___no_mi/fold_03/gh_anfis.pt,0.0,0.0,7,9,2,9,0,7,0.9785714285714285,0.9696969696969697,0.7571428571428571,0.6530612244897959,0.9714285714285714,0.9591836734693877
