dataset,fold,variant,variant_label,component,task_kind,n_train,n_val,n_features,n_outputs,seed,train_seconds,criterion,variant_meta,acc,precision,recall,f1,base_active_features,residual_active_features,union_active_features,overlap_active_features,mask_overlap_rate,mask_disjointness_rate,base_prob_mean,residual_prob_mean,base_rule_count,residual_rule_count,total_rule_count,selected_feature_count,rule_weight_entropy,rule_weight_entropy_norm,effective_rule_count,near_zero_rule_weight_rate,near_zero_rule_firing_rate,near_zero_firing_or_weight_rate,nonfinite_rule_weight_count,nonfinite_rule_firing_count,nonfinite_logit_count
Gisette,1,full_grs,Full GRS-ANFIS,primary,binary,3000,3000,5000,1,42001,60.59373358078301,BCEWithLogitsLoss,"{""label"": ""Full GRS-ANFIS""}",0.9736666666666667,0.9746158984635939,0.9726666666666667,0.9736403069736403,2203.0,539.0,2742.0,0.0,0.0,1.0,0.5013479590415955,0.49994638562202454,7.0,11.0,18.0,2742.0,1.9459092994530995,0.6732384056647619,6.999993988990783,0.6111111044883728,,0.6111111044883728,0.0,0.0,0.0
Gisette,1,full_grs,Full GRS-ANFIS,complementary,binary,3000,3000,5000,1,42001,60.59373358078301,BCEWithLogitsLoss,"{""label"": ""Full GRS-ANFIS""}",0.5306666666666666,0.5309555854643337,0.526,0.5284661754855995,2203.0,539.0,2742.0,0.0,0.0,1.0,0.5013479590415955,0.49994638562202454,7.0,11.0,18.0,2742.0,2.865044603506724,0.9912373912930489,17.54983594640096,0.0,,0.0,0.0,0.0,0.0
Gisette,1,full_grs,Full GRS-ANFIS,full,binary,3000,3000,5000,1,42001,60.59373358078301,BCEWithLogitsLoss,"{""label"": ""Full GRS-ANFIS""}",0.9736666666666667,0.9752508361204013,0.972,0.9736227045075125,2203.0,539.0,2742.0,0.0,0.0,1.0,0.5013479590415955,0.49994638562202454,7.0,11.0,18.0,2742.0,2.865044603506724,0.9912373912930489,17.54983594640096,0.0,,0.0,0.0,0.0,0.0
Gisette,1,primary_only_same_budget,"Primary-only, same epoch budget",primary,binary,3000,3000,5000,1,42001,52.55743078980595,BCEWithLogitsLoss,"{""label"": ""Primary-only, same epoch budget""}",0.975,0.9772270596115205,0.9726666666666667,0.9749415302372202,2366.0,0.0,2366.0,0.0,0.0,1.0,0.5015323162078857,0.5,7.0,0.0,7.0,2366.0,1.945910150249799,0.6732386900583903,6.99999995470047,0.6111111044883728,,0.6111111044883728,0.0,0.0,0.0
Gisette,1,no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",primary,binary,3000,3000,5000,1,42001,49.70395343564451,BCEWithLogitsLoss,"{""label"": ""No hard fine-tune, same epoch budget"", ""scope_note"": ""removes hard-mask fine-tuning phases, not the thresholded complement used between stages""}",0.9703333333333334,0.9763673193787981,0.964,0.9701442468970144,2356.0,57.0,2413.0,0.0,0.0,1.0,0.5014166235923767,0.49993959069252014,7.0,11.0,18.0,2413.0,1.9459079472621281,0.6732379378080368,6.999984524726868,0.6111111044883728,,0.6111111044883728,0.0,0.0,0.0
Gisette,1,no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",complementary,binary,3000,3000,5000,1,42001,49.70395343564451,BCEWithLogitsLoss,"{""label"": ""No hard fine-tune, same epoch budget"", ""scope_note"": ""removes hard-mask fine-tuning phases, not the thresholded complement used between stages""}",0.645,0.6278659611992945,0.712,0.6672914714151827,2356.0,57.0,2413.0,0.0,0.0,1.0,0.5014166235923767,0.49993959069252014,7.0,11.0,18.0,2413.0,2.86499441186587,0.9912200258175532,17.548955148061115,0.0,,0.0,0.0,0.0,0.0
Gisette,1,no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",full,binary,3000,3000,5000,1,42001,49.70395343564451,BCEWithLogitsLoss,"{""label"": ""No hard fine-tune, same epoch budget"", ""scope_note"": ""removes hard-mask fine-tuning phases, not the thresholded complement used between stages""}",0.9713333333333334,0.9770580296896086,0.9653333333333334,0.9711602951039571,2356.0,57.0,2413.0,0.0,0.0,1.0,0.5014166235923767,0.49993959069252014,7.0,11.0,18.0,2413.0,2.86499441186587,0.9912200258175532,17.548955148061115,0.0,,0.0,0.0,0.0,0.0
Gisette,1,no_disjoint,No disjoint complementary routing,primary,binary,3000,3000,5000,1,42001,52.92274687252939,BCEWithLogitsLoss,"{""label"": ""No disjoint complementary routing""}",0.978,0.9792780748663101,0.9766666666666667,0.9779706275033377,2248.0,1013.0,2468.0,793.0,0.3213128038897893,0.6786871961102108,0.501377522945404,0.4999300241470337,7.0,11.0,18.0,2468.0,1.9459093023141225,0.6732384078105291,6.99999401251475,0.6111111044883728,,0.6111111044883728,0.0,0.0,0.0
Gisette,1,no_disjoint,No disjoint complementary routing,complementary,binary,3000,3000,5000,1,42001,52.92274687252939,BCEWithLogitsLoss,"{""label"": ""No disjoint complementary routing""}",0.962,0.9571240105540897,0.9673333333333334,0.9622015915119363,2248.0,1013.0,2468.0,793.0,0.3213128038897893,0.6786871961102108,0.501377522945404,0.4999300241470337,7.0,11.0,18.0,2468.0,2.865046691417694,0.9912381149729093,17.549872584660847,0.0,,0.0,0.0,0.0,0.0
Gisette,1,no_disjoint,No disjoint complementary routing,full,binary,3000,3000,5000,1,42001,52.92274687252939,BCEWithLogitsLoss,"{""label"": ""No disjoint complementary routing""}",0.9763333333333334,0.9772879091516367,0.9753333333333334,0.9763096429763096,2248.0,1013.0,2468.0,793.0,0.3213128038897893,0.6786871961102108,0.501377522945404,0.4999300241470337,7.0,11.0,18.0,2468.0,2.865046691417694,0.9912381149729093,17.549872584660847,0.0,,0.0,0.0,0.0,0.0
Gisette,1,prod_firing,Product firing instead of HTSK,primary,binary,3000,3000,5000,1,42001,80.35571543499827,BCEWithLogitsLoss,"{""label"": ""Product firing instead of HTSK""}",0.5,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,,,0.4987378418445587,0.4998697340488434,7.0,11.0,18.0,0.0,1.9459099769592285,0.6732386350631714,6.999998569488525,0.6111111044883728,,0.6111111044883728,0.0,0.0,0.0
Gisette,1,prod_firing,Product firing instead of HTSK,complementary,binary,3000,3000,5000,1,42001,80.35571543499827,BCEWithLogitsLoss,"{""label"": ""Product firing instead of HTSK""}",0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.4987378418445587,0.4998697340488434,7.0,11.0,18.0,0.0,2.8650498390197754,0.9912391901016235,17.549928665161133,0.0,,0.0,0.0,0.0,0.0
Gisette,1,prod_firing,Product firing instead of HTSK,full,binary,3000,3000,5000,1,42001,80.35571543499827,BCEWithLogitsLoss,"{""label"": ""Product firing instead of HTSK""}",0.5,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,,,0.4987378418445587,0.4998697340488434,7.0,11.0,18.0,0.0,2.8650498390197754,0.9912391901016235,17.549928665161133,0.0,,0.0,0.0,0.0,0.0
Gisette,1,joint_training_same_budget,"Joint training, same epoch budget",primary,binary,3000,3000,5000,1,42001,90.21842726971954,BCEWithLogitsLoss,"{""joint_epochs"": 90, ""label"": ""Joint training, same epoch budget""}",0.9733333333333334,0.977792732166891,0.9686666666666667,0.9732083054253181,2220.0,1183.0,3403.0,0.0,0.0,1.0,0.5014780759811401,0.5000420808792114,7.0,11.0,18.0,3403.0,1.9459098907709123,0.6732386069297791,6.9999981158574425,0.6111111044883728,,0.6111111044883728,0.0,0.0,0.0
Gisette,1,joint_training_same_budget,"Joint training, same epoch budget",complementary,binary,3000,3000,5000,1,42001,90.21842726971954,BCEWithLogitsLoss,"{""joint_epochs"": 90, ""label"": ""Joint training, same epoch budget""}",0.42333333333333334,0.4205801104972376,0.406,0.4131614654002714,2220.0,1183.0,3403.0,0.0,0.0,1.0,0.5014780759811401,0.5000420808792114,7.0,11.0,18.0,3403.0,2.865049533367157,0.9912390891710917,17.549922313054402,0.0,,0.0,0.0,0.0,0.0
Gisette,1,joint_training_same_budget,"Joint training, same epoch budget",full,binary,3000,3000,5000,1,42001,90.21842726971954,BCEWithLogitsLoss,"{""joint_epochs"": 90, ""label"": ""Joint training, same epoch budget""}",0.9723333333333334,0.9751844399731724,0.9693333333333334,0.9722500835840856,2220.0,1183.0,3403.0,0.0,0.0,1.0,0.5014780759811401,0.5000420808792114,7.0,11.0,18.0,3403.0,2.865049533367157,0.9912390891710917,17.549922313054402,0.0,,0.0,0.0,0.0,0.0
Gisette,1,dense_tsk_same_rules,"Dense TSK-ANFIS, same total rules/epochs",full,binary,3000,3000,5000,1,42001,64.22775747161359,BCEWithLogitsLoss,"{""dense_rules"": 18, ""epochs"": 90, ""label"": ""Dense TSK-ANFIS, same total rules/epochs""}",0.973,0.9764942914707858,0.9693333333333334,0.9729006356641017,,,,,,,,,,,18.0,5000.0,2.890371777534485,1.0000000016291937,17.999999933242798,0.0,0.0,0.0,0.0,0.0,0.0
Gisette,2,full_grs,Full GRS-ANFIS,primary,binary,3000,3000,5000,1,42002,59.69345140457153,BCEWithLogitsLoss,"{""label"": ""Full GRS-ANFIS""}",0.9666666666666667,0.9679144385026738,0.9653333333333334,0.9666221628838452,2096.0,558.0,2654.0,0.0,0.0,1.0,0.5012868046760559,0.49994179606437683,7.0,11.0,18.0,2654.0,1.945909213980039,0.6732383766174317,6.999993390083313,0.6111111044883728,,0.6111111044883728,0.0,0.0,0.0
Gisette,2,full_grs,Full GRS-ANFIS,complementary,binary,3000,3000,5000,1,42002,59.69345140457153,BCEWithLogitsLoss,"{""label"": ""Full GRS-ANFIS""}",0.5006666666666667,0.5006476683937824,0.5153333333333333,0.5078843626806833,2096.0,558.0,2654.0,0.0,0.0,1.0,0.5012868046760559,0.49994179606437683,7.0,11.0,18.0,2654.0,2.8650447439352673,0.9912374399900437,17.54983843612671,0.0,,0.0,0.0,0.0,0.0
Gisette,2,full_grs,Full GRS-ANFIS,full,binary,3000,3000,5000,1,42002,59.69345140457153,BCEWithLogitsLoss,"{""label"": ""Full GRS-ANFIS""}",0.9673333333333334,0.9698391420911529,0.9646666666666667,0.9672459893048129,2096.0,558.0,2654.0,0.0,0.0,1.0,0.5012868046760559,0.49994179606437683,7.0,11.0,18.0,2654.0,2.8650447439352673,0.9912374399900437,17.54983843612671,0.0,,0.0,0.0,0.0,0.0
Gisette,2,primary_only_same_budget,"Primary-only, same epoch budget",primary,binary,3000,3000,5000,1,42002,49.9161849366501,BCEWithLogitsLoss,"{""label"": ""Primary-only, same epoch budget""}",0.967,0.9654485049833887,0.9686666666666667,0.967054908485857,2208.0,0.0,2208.0,0.0,0.0,1.0,0.5013965368270874,0.5,7.0,0.0,7.0,2208.0,1.9459101522366207,0.6732386904557546,6.999999970912933,0.6111111044883728,,0.6111111044883728,0.0,0.0,0.0
Gisette,2,no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",primary,binary,3000,3000,5000,1,42002,63.29026589076966,BCEWithLogitsLoss,"{""label"": ""No hard fine-tune, same epoch budget"", ""scope_note"": ""removes hard-mask fine-tuning phases, not the thresholded complement used between stages""}",0.9636666666666667,0.9658405894172807,0.9613333333333334,0.9635816906114266,2208.0,72.0,2280.0,0.0,0.0,1.0,0.5013083219528198,0.499938040971756,7.0,11.0,18.0,2280.0,1.9459077567656835,0.6732378715078036,6.999983192125956,0.6111111044883728,,0.6111111044883728,0.0,0.0,0.0
Gisette,2,no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",complementary,binary,3000,3000,5000,1,42002,63.29026589076966,BCEWithLogitsLoss,"{""label"": ""No hard fine-tune, same epoch budget"", ""scope_note"": ""removes hard-mask fine-tuning phases, not the thresholded complement used between stages""}",0.539,0.5256466462078035,0.7993333333333333,0.6342237503306004,2208.0,72.0,2280.0,0.0,0.0,1.0,0.5013083219528198,0.499938040971756,7.0,11.0,18.0,2280.0,2.865026741425196,0.9912312114437422,17.549522521972655,0.0,,0.0,0.0,0.0,0.0
Gisette,2,no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",full,binary,3000,3000,5000,1,42002,63.29026589076966,BCEWithLogitsLoss,"{""label"": ""No hard fine-tune, same epoch budget"", ""scope_note"": ""removes hard-mask fine-tuning phases, not the thresholded complement used between stages""}",0.9636666666666667,0.9658405894172807,0.9613333333333334,0.9635816906114266,2208.0,72.0,2280.0,0.0,0.0,1.0,0.5013083219528198,0.499938040971756,7.0,11.0,18.0,2280.0,2.865026741425196,0.9912312114437422,17.549522521972655,0.0,,0.0,0.0,0.0,0.0
Gisette,2,no_disjoint,No disjoint complementary routing,primary,binary,3000,3000,5000,1,42002,67.78575137164444,BCEWithLogitsLoss,"{""label"": ""No disjoint complementary routing""}",0.9673333333333334,0.966711051930759,0.968,0.9673550966022652,2088.0,976.0,2321.0,743.0,0.3201206376561827,0.6798793623438173,0.5012359619140625,0.4999290406703949,7.0,11.0,18.0,2321.0,1.9459092437426249,0.6732383866111438,6.999993600686391,0.6111111044883728,,0.6111111044883728,0.0,0.0,0.0
Gisette,2,no_disjoint,No disjoint complementary routing,complementary,binary,3000,3000,5000,1,42002,67.78575137164444,BCEWithLogitsLoss,"{""label"": ""No disjoint complementary routing""}",0.9546666666666667,0.9445893089960886,0.966,0.9551746868820039,2088.0,976.0,2321.0,743.0,0.3201206376561827,0.6798793623438173,0.5012359619140625,0.4999290406703949,7.0,11.0,18.0,2321.0,2.8650468469460804,0.9912381689349811,17.549875292460122,0.0,,0.0,0.0,0.0,0.0
Gisette,2,no_disjoint,No disjoint complementary routing,full,binary,3000,3000,5000,1,42002,67.78575137164444,BCEWithLogitsLoss,"{""label"": ""No disjoint complementary routing""}",0.968,0.9673768308921438,0.9686666666666667,0.9680213191205863,2088.0,976.0,2321.0,743.0,0.3201206376561827,0.6798793623438173,0.5012359619140625,0.4999290406703949,7.0,11.0,18.0,2321.0,2.8650468469460804,0.9912381689349811,17.549875292460122,0.0,,0.0,0.0,0.0,0.0
Gisette,2,prod_firing,Product firing instead of HTSK,primary,binary,3000,3000,5000,1,42002,87.80288599897176,BCEWithLogitsLoss,"{""label"": ""Product firing instead of HTSK""}",0.5,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,,,0.4987378418445587,0.4998697340488434,7.0,11.0,18.0,0.0,1.9459099769592285,0.6732386350631714,6.999998569488525,0.6111111044883728,,0.6111111044883728,0.0,0.0,0.0
Gisette,2,prod_firing,Product firing instead of HTSK,complementary,binary,3000,3000,5000,1,42002,87.80288599897176,BCEWithLogitsLoss,"{""label"": ""Product firing instead of HTSK""}",0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.4987378418445587,0.4998697340488434,7.0,11.0,18.0,0.0,2.8650498390197754,0.9912391901016235,17.549928665161133,0.0,,0.0,0.0,0.0,0.0
Gisette,2,prod_firing,Product firing instead of HTSK,full,binary,3000,3000,5000,1,42002,87.80288599897176,BCEWithLogitsLoss,"{""label"": ""Product firing instead of HTSK""}",0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.4987378418445587,0.4998697340488434,7.0,11.0,18.0,0.0,2.8650498390197754,0.9912391901016235,17.549928665161133,0.0,,0.0,0.0,0.0,0.0
Gisette,2,joint_training_same_budget,"Joint training, same epoch budget",primary,binary,3000,3000,5000,1,42002,105.61437123361975,BCEWithLogitsLoss,"{""joint_epochs"": 90, ""label"": ""Joint training, same epoch budget""}",0.964,0.9609271523178808,0.9673333333333334,0.9641196013289036,2118.0,1146.0,3264.0,0.0,0.0,1.0,0.5013495683670044,0.5000290274620056,7.0,11.0,18.0,3264.0,1.9459098656574885,0.6732385983467102,6.999997941652934,0.6111111044883728,,0.6111111044883728,0.0,0.0,0.0
Gisette,2,joint_training_same_budget,"Joint training, same epoch budget",complementary,binary,3000,3000,5000,1,42002,105.61437123361975,BCEWithLogitsLoss,"{""joint_epochs"": 90, ""label"": ""Joint training, same epoch budget""}",0.41633333333333333,0.4108031272210377,0.38533333333333336,0.39766081871345027,2118.0,1146.0,3264.0,0.0,0.0,1.0,0.5013495683670044,0.5000290274620056,7.0,11.0,18.0,3264.0,2.8650494972864786,0.9912390764753024,17.54992166964213,0.0,,0.0,0.0,0.0,0.0
Gisette,2,joint_training_same_budget,"Joint training, same epoch budget",full,binary,3000,3000,5000,1,42002,105.61437123361975,BCEWithLogitsLoss,"{""joint_epochs"": 90, ""label"": ""Joint training, same epoch budget""}",0.965,0.9646902065289806,0.9653333333333334,0.9650116627790737,2118.0,1146.0,3264.0,0.0,0.0,1.0,0.5013495683670044,0.5000290274620056,7.0,11.0,18.0,3264.0,2.8650494972864786,0.9912390764753024,17.54992166964213,0.0,,0.0,0.0,0.0,0.0
Gisette,2,dense_tsk_same_rules,"Dense TSK-ANFIS, same total rules/epochs",full,binary,3000,3000,5000,1,42002,66.66257781535387,BCEWithLogitsLoss,"{""dense_rules"": 18, ""epochs"": 90, ""label"": ""Dense TSK-ANFIS, same total rules/epochs""}",0.964,0.9671140939597316,0.9606666666666667,0.9638795986622074,,,,,,,,,,,18.0,5000.0,2.890371778567632,1.000000002125899,17.999999958674113,0.0,0.0,0.0,0.0,0.0,0.0
