dataset,variant,variant_label,component,n_folds,acc_mean,acc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,selected_feature_count_mean,selected_feature_count_std,base_active_features_mean,base_active_features_std,residual_active_features_mean,residual_active_features_std,union_active_features_mean,union_active_features_std,overlap_active_features_mean,overlap_active_features_std,mask_overlap_rate_mean,mask_overlap_rate_std,mask_disjointness_rate_mean,mask_disjointness_rate_std,base_rule_count_mean,base_rule_count_std,residual_rule_count_mean,residual_rule_count_std,total_rule_count_mean,total_rule_count_std,rule_weight_entropy_mean,rule_weight_entropy_std,rule_weight_entropy_norm_mean,rule_weight_entropy_norm_std,effective_rule_count_mean,effective_rule_count_std,near_zero_rule_weight_rate_mean,near_zero_rule_weight_rate_std,near_zero_rule_firing_rate_mean,near_zero_rule_firing_rate_std,near_zero_firing_or_weight_rate_mean,near_zero_firing_or_weight_rate_std,nonfinite_rule_weight_count_mean,nonfinite_rule_weight_count_std,nonfinite_rule_firing_count_mean,nonfinite_rule_firing_count_std,nonfinite_logit_count_mean,nonfinite_logit_count_std,train_seconds_mean,train_seconds_std
Gisette,no_disjoint,No disjoint complementary routing,complementary,2,0.9583333333333333,0.0036666666666666514,0.9508566597750892,0.006267350779000536,0.9666666666666667,0.0006666666666667043,0.9586881391969702,0.0035134523149661923,2394.5,73.5,2168.0,80.0,994.5,18.5,2394.5,73.5,768.0,25.0,0.32071672077298596,0.0005960831168032865,0.679283279227014,0.0005960831168032588,7.0,0.0,11.0,0.0,18.0,0.0,2.8650467691818875,7.776419308491711e-08,0.9912381419539451,2.6981035905482287e-08,17.549873938560484,1.3538996377349122e-06,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.35424912208691,7.431502249557525
Gisette,no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",complementary,2,0.5920000000000001,0.05299999999999999,0.576756303703549,0.051109657495745475,0.7556666666666667,0.04366666666666669,0.6507576108728916,0.016533860542291168,2346.5,66.5,2282.0,74.0,64.5,7.5,2346.5,66.5,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,11.0,0.0,18.0,0.0,2.865010576645533,1.616477966304153e-05,0.9912256186306476,5.592813094479343e-06,17.549238835016887,0.0002836869557700794,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.497109663207084,6.7931562275625765
Gisette,full_grs,Full GRS-ANFIS,complementary,2,0.5156666666666667,0.014999999999999958,0.5158016269290581,0.01515395853527568,0.5206666666666666,0.005333333333333357,0.5181752690831414,0.010290906402458111,2698.0,44.0,2149.5,53.5,548.5,9.5,2698.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,11.0,0.0,18.0,0.0,2.8650446737209956,7.021427173015127e-08,0.9912374156415462,2.434849738497391e-08,17.549837191263833,1.2448628741168477e-06,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.14359249267727,0.45014108810573816
Gisette,joint_training_same_budget,"Joint training, same epoch budget",complementary,2,0.41983333333333334,0.003500000000000003,0.41569161885913763,0.004888491638099957,0.3956666666666667,0.010333333333333333,0.4054111420568608,0.007750323343410553,3333.5,69.5,2169.0,51.0,1164.5,18.5,3333.5,69.5,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,11.0,0.0,18.0,0.0,2.8650495153268176,1.8040339222480384e-08,0.9912390828231971,6.347894654368247e-09,17.549921991348267,3.2170613550874805e-07,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.91639925166965,7.697971981950104
Gisette,prod_firing,Product firing instead of HTSK,complementary,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,7.0,0.0,11.0,0.0,18.0,0.0,2.8650498390197754,0.0,0.9912391901016235,0.0,17.549928665161133,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.07930071698502,3.723585281986743
Gisette,no_disjoint,No disjoint complementary routing,full,2,0.9721666666666666,0.004166666666666707,0.9723323700218902,0.004955539129746445,0.972,0.003333333333333355,0.9721654810484479,0.004144161927861656,2394.5,73.5,2168.0,80.0,994.5,18.5,2394.5,73.5,768.0,25.0,0.32071672077298596,0.0005960831168032865,0.679283279227014,0.0005960831168032588,7.0,0.0,11.0,0.0,18.0,0.0,2.8650467691818875,7.776419308491711e-08,0.9912381419539451,2.6981035905482287e-08,17.549873938560484,1.3538996377349122e-06,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.35424912208691,7.431502249557525
Gisette,full_grs,Full GRS-ANFIS,full,2,0.9705,0.003166666666666651,0.9725449891057771,0.0027058470146242297,0.9683333333333333,0.0036666666666666514,0.9704343469061627,0.003188357601349834,2698.0,44.0,2149.5,53.5,548.5,9.5,2698.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,11.0,0.0,18.0,0.0,2.8650446737209956,7.021427173015127e-08,0.9912374156415462,2.434849738497391e-08,17.549837191263833,1.2448628741168477e-06,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.14359249267727,0.45014108810573816
Gisette,joint_training_same_budget,"Joint training, same epoch budget",full,2,0.9686666666666667,0.003666666666666707,0.9699373232510765,0.005247116722095879,0.9673333333333334,0.0020000000000000018,0.9686308731815796,0.003619210402505957,3333.5,69.5,2169.0,51.0,1164.5,18.5,3333.5,69.5,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,11.0,0.0,18.0,0.0,2.8650495153268176,1.8040339222480384e-08,0.9912390828231971,6.347894654368247e-09,17.549921991348267,3.2170613550874805e-07,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.91639925166965,7.697971981950104
Gisette,dense_tsk_same_rules,"Dense TSK-ANFIS, same total rules/epochs",full,2,0.9684999999999999,0.004500000000000004,0.9718041927152588,0.004690098755527117,0.9650000000000001,0.004333333333333356,0.9683901171631546,0.004510518500947136,5000.0,0.0,,,,,,,,,,,,,,,,,18.0,0.0,2.8903717780510583,5.165736727264425e-10,1.0000000018775463,2.4835267176115394e-10,17.999999945958457,1.271565785998531e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.44516764348373,1.2174101718701422
Gisette,no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",full,2,0.9675,0.0038333333333333552,0.9714493095534447,0.0056087201361639805,0.9633333333333334,0.0020000000000000018,0.9673709928576919,0.003789302246265225,2346.5,66.5,2282.0,74.0,64.5,7.5,2346.5,66.5,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,11.0,0.0,18.0,0.0,2.865010576645533,1.616477966304153e-05,0.9912256186306476,5.592813094479343e-06,17.549238835016887,0.0002836869557700794,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.497109663207084,6.7931562275625765
Gisette,prod_firing,Product firing instead of HTSK,full,2,0.5,0.0,0.25,0.25,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,7.0,0.0,11.0,0.0,18.0,0.0,2.8650498390197754,0.0,0.9912391901016235,0.0,17.549928665161133,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.07930071698502,3.723585281986743
Gisette,no_disjoint,No disjoint complementary routing,primary,2,0.9726666666666667,0.005333333333333301,0.9729945633985346,0.00628351146777556,0.9723333333333333,0.004333333333333356,0.9726628620528015,0.005307765450536295,2394.5,73.5,2168.0,80.0,994.5,18.5,2394.5,73.5,768.0,25.0,0.32071672077298596,0.0005960831168032865,0.679283279227014,0.0005960831168032588,7.0,0.0,11.0,0.0,18.0,0.0,1.9459092730283736,2.928574882599122e-08,0.6732383972108364,1.0599692679136297e-08,6.999993806600571,2.0591417948523372e-07,0.6111111044883728,0.0,,,0.6111111044883728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.35424912208691,7.431502249557525
Gisette,primary_only_same_budget,"Primary-only, same epoch budget",primary,2,0.971,0.0040000000000000036,0.9713377822974546,0.005889277314065855,0.9706666666666667,0.0020000000000000018,0.9709982193615385,0.003943310875681616,2287.0,79.0,2287.0,79.0,0.0,0.0,2287.0,79.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,1.94591015124321,9.934107980669244e-10,0.6732386902570724,1.9868212630670066e-10,6.999999962806701,8.106231685900423e-09,0.6111111044883728,0.0,,,0.6111111044883728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.23680786322802,1.3206229265779257
Gisette,full_grs,Full GRS-ANFIS,primary,2,0.9701666666666666,0.003500000000000003,0.9712651684831338,0.0033507299804600432,0.9690000000000001,0.0036666666666666514,0.9701312349287428,0.0035090720448975876,2698.0,44.0,2149.5,53.5,548.5,9.5,2698.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,11.0,0.0,18.0,0.0,1.9459092567165692,4.273653031461322e-08,0.6732383911410968,1.4523665103904904e-08,6.999993689537048,2.994537351419524e-07,0.6111111044883728,0.0,,,0.6111111044883728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.14359249267727,0.45014108810573816
