dataset,fold,variant,variant_label,component,task_kind,n_train,n_val,n_features,n_outputs,seed,train_seconds,criterion,variant_meta,acc,precision,recall,f1,base_active_features,residual_active_features,union_active_features,overlap_active_features,mask_overlap_rate,mask_disjointness_rate,base_prob_mean,residual_prob_mean,base_rule_count,residual_rule_count,total_rule_count,selected_feature_count,rule_weight_entropy,rule_weight_entropy_norm,effective_rule_count,near_zero_rule_weight_rate,near_zero_rule_firing_rate,near_zero_firing_or_weight_rate,nonfinite_rule_weight_count,nonfinite_rule_firing_count,nonfinite_logit_count
Spambase,1,full_grs,Full GRS-ANFIS,primary,binary,3680,921,57,1,42001,8.132568513043225,BCEWithLogitsLoss,"{""label"": ""Full GRS-ANFIS""}",0.9131378935939196,0.9149560117302052,0.859504132231405,0.8863636363636364,37.0,20.0,57.0,0.0,0.0,1.0,0.6523667573928833,0.5398217439651489,7.0,11.0,18.0,57.0,1.331503115570118,0.4606684562178828,3.7918996269876355,0.6111111044883728,,0.6111111044883728,0.0,0.0,0.0
Spambase,1,full_grs,Full GRS-ANFIS,complementary,binary,3680,921,57,1,42001,8.132568513043225,BCEWithLogitsLoss,"{""label"": ""Full GRS-ANFIS""}",0.6927252985884907,0.5766283524904214,0.8292011019283747,0.6802259887005649,37.0,20.0,57.0,0.0,0.0,1.0,0.6523667573928833,0.5398217439651489,7.0,11.0,18.0,57.0,2.3718174894003603,0.8205925243685223,10.734414160704638,0.0,,0.0,0.0,0.0,0.0
Spambase,1,full_grs,Full GRS-ANFIS,full,binary,3680,921,57,1,42001,8.132568513043225,BCEWithLogitsLoss,"{""label"": ""Full GRS-ANFIS""}",0.9272529858849077,0.9180790960451978,0.8953168044077136,0.9065550906555091,37.0,20.0,57.0,0.0,0.0,1.0,0.6523667573928833,0.5398217439651489,7.0,11.0,18.0,57.0,2.3718174894003603,0.8205925243685223,10.734414160704638,0.0,,0.0,0.0,0.0,0.0
Spambase,1,primary_only_same_budget,"Primary-only, same epoch budget",primary,binary,3680,921,57,1,42001,6.667591248638928,BCEWithLogitsLoss,"{""label"": ""Primary-only, same epoch budget""}",0.9207383279044516,0.8940217391304348,0.90633608815427,0.9001367989056087,36.0,0.0,36.0,0.0,0.0,1.0,0.6583267450332642,0.5,7.0,0.0,7.0,36.0,1.6013233732840655,0.5540198574042864,4.966092600237404,0.6111111044883728,,0.6111111044883728,0.0,0.0,0.0
Spambase,1,no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",primary,binary,3680,921,57,1,42001,8.0233302898705,BCEWithLogitsLoss,"{""label"": ""No hard fine-tune, same epoch budget"", ""scope_note"": ""removes hard-mask fine-tuning phases, not the thresholded complement used between stages""}",0.8306188925081434,0.718816067653277,0.9366391184573003,0.8133971291866029,44.0,13.0,57.0,0.0,0.0,1.0,0.7362680435180664,0.5468041896820068,7.0,11.0,18.0,57.0,1.543895927107166,0.5341513258820636,4.69972752592851,0.6111111044883728,,0.6111111044883728,0.0,0.0,0.0
Spambase,1,no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",complementary,binary,3680,921,57,1,42001,8.0233302898705,BCEWithLogitsLoss,"{""label"": ""No hard fine-tune, same epoch budget"", ""scope_note"": ""removes hard-mask fine-tuning phases, not the thresholded complement used between stages""}",0.6807817589576547,0.9367088607594937,0.20385674931129477,0.334841628959276,44.0,13.0,57.0,0.0,0.0,1.0,0.7362680435180664,0.5468041896820068,7.0,11.0,18.0,57.0,2.1736231255350105,0.7520219812434608,8.818053573790642,0.0,,0.0,0.0,0.0,0.0
Spambase,1,no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",full,binary,3680,921,57,1,42001,8.0233302898705,BCEWithLogitsLoss,"{""label"": ""No hard fine-tune, same epoch budget"", ""scope_note"": ""removes hard-mask fine-tuning phases, not the thresholded complement used between stages""}",0.9163952225841476,0.8928571428571429,0.8953168044077136,0.8940852819807428,44.0,13.0,57.0,0.0,0.0,1.0,0.7362680435180664,0.5468041896820068,7.0,11.0,18.0,57.0,2.1736231255350105,0.7520219812434608,8.818053573790642,0.0,,0.0,0.0,0.0,0.0
Spambase,1,no_disjoint,No disjoint complementary routing,primary,binary,3680,921,57,1,42001,7.903329650871456,BCEWithLogitsLoss,"{""label"": ""No disjoint complementary routing""}",0.9239956568946797,0.9271137026239067,0.8760330578512396,0.9008498583569405,45.0,37.0,52.0,30.0,0.5769230769230769,0.42307692307692313,0.7094676494598389,0.5267515182495117,7.0,11.0,18.0,52.0,1.553842920692684,0.5375927475389259,4.733676674829374,0.6111111044883728,,0.6111111044883728,0.0,0.0,0.0
Spambase,1,no_disjoint,No disjoint complementary routing,complementary,binary,3680,921,57,1,42001,7.903329650871456,BCEWithLogitsLoss,"{""label"": ""No disjoint complementary routing""}",0.6188925081433225,0.5141509433962265,0.6005509641873278,0.554002541296061,45.0,37.0,52.0,30.0,0.5769230769230769,0.42307692307692313,0.7094676494598389,0.5267515182495117,7.0,11.0,18.0,52.0,2.587648087293395,0.8952647854657955,13.30447581433059,0.0,,0.0,0.0,0.0,0.0
Spambase,1,no_disjoint,No disjoint complementary routing,full,binary,3680,921,57,1,42001,7.903329650871456,BCEWithLogitsLoss,"{""label"": ""No disjoint complementary routing""}",0.9294245385450597,0.9232954545454546,0.8953168044077136,0.9090909090909091,45.0,37.0,52.0,30.0,0.5769230769230769,0.42307692307692313,0.7094676494598389,0.5267515182495117,7.0,11.0,18.0,52.0,2.587648087293395,0.8952647854657955,13.30447581433059,0.0,,0.0,0.0,0.0,0.0
