dataset,fold,variant,variant_label,epoch_global,stage,stage_boundary_marker,train_total_loss,train_pred_loss,val_loss,val_acc,val_f1,primary_selected,comp_selected,mask_overlap,rule_count,seed,n_train,n_val,n_features,n_outputs,task_kind,elapsed_seconds
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,1,Stage1 soft,Stage1 soft,0.3516044948498408,0.3466068615516027,0.16373681982358296,0.9483333333333334,0.9484193011647255,2260.0,2740.0,0.0,18.0,42001,4800,1200,5000,1,binary,0.7808371856808662
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,2,Stage1 soft,,0.08487447400887807,0.07987705543637276,0.13161135385433834,0.9625,0.9623430962343096,2190.0,2810.0,0.0,18.0,42001,4800,1200,5000,1,binary,1.6192146642133594
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,3,Stage1 soft,,0.04826634416977565,0.0432651790479819,0.1495877535144488,0.9616666666666667,0.9612141652613828,2223.0,2777.0,0.0,18.0,42001,4800,1200,5000,1,binary,2.4569423589855433
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,4,Stage1 soft,,0.02854068174958229,0.023533549830317496,0.15808054327964782,0.9616666666666667,0.9612794612794613,2254.0,2746.0,0.0,18.0,42001,4800,1200,5000,1,binary,3.2909793946892023
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,5,Stage1 soft,,0.018712086925903957,0.013698392050961654,0.18110113978385925,0.9566666666666667,0.9565217391304348,2231.0,2769.0,0.0,18.0,42001,4800,1200,5000,1,binary,4.164893560111523
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,6,Stage1 soft,,0.013833485494057338,0.008812487324078877,0.19134187708298364,0.955,0.9548494983277592,2290.0,2710.0,0.0,18.0,42001,4800,1200,5000,1,binary,4.942744368687272
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,7,Stage1 soft,,0.011324237162868182,0.0062961860621968905,0.17653474628925322,0.955,0.9546979865771812,2391.0,2609.0,0.0,18.0,42001,4800,1200,5000,1,binary,5.717718188650906
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,8,Stage1 soft,,0.010141885032256444,0.005108219801137845,0.16687764038642247,0.9625,0.9622166246851386,2462.0,2538.0,0.0,18.0,42001,4800,1200,5000,1,binary,6.613317399285734
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,9,Stage1 soft,,0.00940897102157275,0.004371465376267831,0.1654793585340182,0.9625,0.9621530698065601,2530.0,2470.0,0.0,18.0,42001,4800,1200,5000,1,binary,7.339409762062132
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,10,Stage1 soft,,0.00894615647693475,0.0039068353859086835,0.1604311575492223,0.9625,0.9622166246851386,2561.0,2439.0,0.0,18.0,42001,4800,1200,5000,1,binary,8.135137790814042
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,11,Stage1 soft,,0.008601765558123588,0.0035622133780270817,0.14949793805678685,0.9675,0.9673093042749371,2578.0,2422.0,0.0,18.0,42001,4800,1200,5000,1,binary,9.006775358691812
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,12,Stage1 soft,,0.008410477079451084,0.0033718661001573007,0.15389270434776942,0.9675,0.9673640167364017,2548.0,2452.0,0.0,18.0,42001,4800,1200,5000,1,binary,9.89046229235828
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,13,Stage1 soft,,0.008276044142742951,0.003239028795311848,0.16117528796195985,0.9666666666666667,0.9664429530201343,2524.0,2476.0,0.0,18.0,42001,4800,1200,5000,1,binary,10.764676031656563
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,14,Stage1 soft,,0.008200152218341828,0.003165037327756484,0.15665081029136976,0.9716666666666667,0.9714285714285714,2499.0,2501.0,0.0,18.0,42001,4800,1200,5000,1,binary,11.629460822790861
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,15,Stage1 soft,,0.008155192732810974,0.003122134953737259,0.15424216772119204,0.97,0.9697478991596639,2499.0,2501.0,0.0,18.0,42001,4800,1200,5000,1,binary,12.630727984942496
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,16,Stage1 soft,,0.008127967789769174,0.003096894531821211,0.15386318703492483,0.9725,0.9721988205560236,2452.0,2548.0,0.0,18.0,42001,4800,1200,5000,1,binary,13.566825439222157
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,17,Stage1 soft,,0.008120447161297003,0.003091150481874744,0.1521512662867705,0.9725,0.9722921914357683,2421.0,2579.0,0.0,18.0,42001,4800,1200,5000,1,binary,14.375355901196599
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,18,Stage1 soft,,0.008112967436512311,0.0030852202232927086,0.1498484339316686,0.9725,0.9722921914357683,2403.0,2597.0,0.0,18.0,42001,4800,1200,5000,1,binary,15.182606966234744
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,19,Stage1 soft,,0.008109925985336304,0.003083514515310526,0.14930806453029313,0.97,0.9698996655518395,2407.0,2593.0,0.0,18.0,42001,4800,1200,5000,1,binary,16.058703542687
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,20,Stage1 soft,,0.00811172919968764,0.003086430067196488,0.14814969246586163,0.9708333333333333,0.9706621961441744,2397.0,2603.0,0.0,18.0,42001,4800,1200,5000,1,binary,16.869366701692343
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,21,Stage1 soft,,0.008112389010687669,0.0030880466227730117,0.14442970260977744,0.9708333333333333,0.9706621961441744,2397.0,2603.0,0.0,18.0,42001,4800,1200,5000,1,binary,17.63949957396835
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,22,Stage1 soft,,0.008108978507419427,0.003085432310278217,0.14060600688060124,0.9733333333333334,0.973109243697479,2413.0,2587.0,0.0,18.0,42001,4800,1200,5000,1,binary,18.503815246745944
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,23,Stage1 soft,,0.008104772033790748,0.003081877703468005,0.13526326343417167,0.9733333333333334,0.9731543624161074,2397.0,2603.0,0.0,18.0,42001,4800,1200,5000,1,binary,19.290593169629574
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,24,Stage1 soft,,0.008103634690244993,0.0030813563149422406,0.13036732017993927,0.9716666666666667,0.9714765100671141,2380.0,2620.0,0.0,18.0,42001,4800,1200,5000,1,binary,19.998309183865786
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,25,Stage1 soft,,0.008107091560959815,0.003085359325632453,0.12887230376402536,0.9733333333333334,0.973109243697479,2386.0,2614.0,0.0,18.0,42001,4800,1200,5000,1,binary,20.83380469214171
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,26,Stage1 soft,,0.008117318165798982,0.0030959988789012035,0.1287849260866642,0.9733333333333334,0.9730639730639731,2394.0,2606.0,0.0,18.0,42001,4800,1200,5000,1,binary,21.698865856043994
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,27,Stage1 soft,,0.008113805688917636,0.003092777837688724,0.12829934532443682,0.9725,0.9722921914357683,2393.0,2607.0,0.0,18.0,42001,4800,1200,5000,1,binary,22.544281733222306
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,28,Stage1 soft,,0.008118955170114834,0.003098181284343203,0.12496323640147845,0.9725,0.972338642078793,2403.0,2597.0,0.0,18.0,42001,4800,1200,5000,1,binary,23.344957971945405
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,29,Stage1 soft,,0.008116840993364653,0.003096180222928524,0.12653453891475996,0.9741666666666666,0.9740150880134115,2402.0,2598.0,0.0,18.0,42001,4800,1200,5000,1,binary,24.134088098071516
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,30,Stage1 soft,,0.008110473789274692,0.003089858389769991,0.12809642821550368,0.9725,0.9722921914357683,2396.0,2604.0,0.0,18.0,42001,4800,1200,5000,1,binary,24.944315884262323
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,31,Primary hard,Primary hard,0.001594330354904135,0.001594330354904135,0.10584248033662637,0.97,0.9697478991596639,2396.0,2604.0,0.0,18.0,42001,4800,1200,5000,1,binary,25.72926836181432
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,32,Primary hard,,0.0019425704097375273,0.0019425704097375273,0.10342823406060536,0.9675,0.9674728940783986,2396.0,2604.0,0.0,18.0,42001,4800,1200,5000,1,binary,26.63569676503539
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,33,Primary hard,,0.0021802410949021576,0.0021802410949021576,0.09984656438231468,0.9716666666666667,0.9715242881072027,2396.0,2604.0,0.0,18.0,42001,4800,1200,5000,1,binary,27.417536759749055
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,34,Primary hard,,0.0013339985844989617,0.0013339985844989617,0.09867093707124393,0.9691666666666666,0.9690893901420217,2396.0,2604.0,0.0,18.0,42001,4800,1200,5000,1,binary,28.215556006878614
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,35,Primary hard,,0.0010134397788594167,0.0010134397788594167,0.10105710988243422,0.9691666666666666,0.969243557772236,2396.0,2604.0,0.0,18.0,42001,4800,1200,5000,1,binary,28.95962058007717
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,36,Primary hard,,0.0007921058218926192,0.0007921058218926192,0.09901134657363096,0.9725,0.9723849372384937,2396.0,2604.0,0.0,18.0,42001,4800,1200,5000,1,binary,29.689501942135394
