dataset,mode,model,comparison_group,feature_selection_status,configured_selected_feature_count,effective_feature_count_mean,feature_count_basis,current_loader_n_features,split_policy,metric_policy,tuning_budget,dependency,limitation
Breast_Cancer_Wisconsin_(Original),no_mi,RandomForest,new non-neural tabular comparator,none; all current-loader features used,,80.0,current_loader_n_features,80,"StratifiedKFold(n_splits=5, shuffle=True, random_state=42)","accuracy, precision, recall, F1; binary average for binary tasks, weighted average for multiclass",2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,scikit-learn,Run is comparable on split/metric/current preprocessing; direct merge with stale main summary should wait for data-dimension audit where current loader differs.
Breast_Cancer_Wisconsin_(Original),no_mi,HistGradientBoosting,new non-neural tabular comparator,none; all current-loader features used,,80.0,current_loader_n_features,80,"StratifiedKFold(n_splits=5, shuffle=True, random_state=42)","accuracy, precision, recall, F1; binary average for binary tasks, weighted average for multiclass",2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,scikit-learn,Run is comparable on split/metric/current preprocessing; direct merge with stale main summary should wait for data-dimension audit where current loader differs.
Breast_Cancer_Wisconsin_(Original),no_mi,XGBoost,new non-neural tabular comparator,none; all current-loader features used,,80.0,current_loader_n_features,80,"StratifiedKFold(n_splits=5, shuffle=True, random_state=42)","accuracy, precision, recall, F1; binary average for binary tasks, weighted average for multiclass",2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,xgboost,Run is comparable on split/metric/current preprocessing; direct merge with stale main summary should wait for data-dimension audit where current loader differs.
Breast_Cancer_Wisconsin_(Original),no_mi,LightGBM,new non-neural tabular comparator,none; all current-loader features used,,80.0,current_loader_n_features,80,"StratifiedKFold(n_splits=5, shuffle=True, random_state=42)","accuracy, precision, recall, F1; binary average for binary tasks, weighted average for multiclass",2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,lightgbm,Run is comparable on split/metric/current preprocessing; direct merge with stale main summary should wait for data-dimension audit where current loader differs.
Breast_Cancer_Wisconsin_(Original),no_mi,CatBoost,new non-neural tabular comparator,none; all current-loader features used,,80.0,current_loader_n_features,80,"StratifiedKFold(n_splits=5, shuffle=True, random_state=42)","accuracy, precision, recall, F1; binary average for binary tasks, weighted average for multiclass",2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,catboost,Run is comparable on split/metric/current preprocessing; direct merge with stale main summary should wait for data-dimension audit where current loader differs.
Breast_Cancer_Wisconsin_(Original),no_mi,EBM,new non-neural tabular comparator,none; all current-loader features used,,80.0,current_loader_n_features,80,"StratifiedKFold(n_splits=5, shuffle=True, random_state=42)","accuracy, precision, recall, F1; binary average for binary tasks, weighted average for multiclass",2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,interpret,Run is comparable on split/metric/current preprocessing; direct merge with stale main summary should wait for data-dimension audit where current loader differs.
Vowel,no_mi,RandomForest,new non-neural tabular comparator,none; all current-loader features used,,29.0,current_loader_n_features,29,"StratifiedKFold(n_splits=5, shuffle=True, random_state=42)","accuracy, precision, recall, F1; binary average for binary tasks, weighted average for multiclass",2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,scikit-learn,Run is comparable on split/metric/current preprocessing; direct merge with stale main summary should wait for data-dimension audit where current loader differs.
Vowel,no_mi,HistGradientBoosting,new non-neural tabular comparator,none; all current-loader features used,,29.0,current_loader_n_features,29,"StratifiedKFold(n_splits=5, shuffle=True, random_state=42)","accuracy, precision, recall, F1; binary average for binary tasks, weighted average for multiclass",2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,scikit-learn,Run is comparable on split/metric/current preprocessing; direct merge with stale main summary should wait for data-dimension audit where current loader differs.
Vowel,no_mi,XGBoost,new non-neural tabular comparator,none; all current-loader features used,,29.0,current_loader_n_features,29,"StratifiedKFold(n_splits=5, shuffle=True, random_state=42)","accuracy, precision, recall, F1; binary average for binary tasks, weighted average for multiclass",2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,xgboost,Run is comparable on split/metric/current preprocessing; direct merge with stale main summary should wait for data-dimension audit where current loader differs.
Vowel,no_mi,LightGBM,new non-neural tabular comparator,none; all current-loader features used,,29.0,current_loader_n_features,29,"StratifiedKFold(n_splits=5, shuffle=True, random_state=42)","accuracy, precision, recall, F1; binary average for binary tasks, weighted average for multiclass",2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,lightgbm,Run is comparable on split/metric/current preprocessing; direct merge with stale main summary should wait for data-dimension audit where current loader differs.
Vowel,no_mi,CatBoost,new non-neural tabular comparator,none; all current-loader features used,,29.0,current_loader_n_features,29,"StratifiedKFold(n_splits=5, shuffle=True, random_state=42)","accuracy, precision, recall, F1; binary average for binary tasks, weighted average for multiclass",2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,catboost,Run is comparable on split/metric/current preprocessing; direct merge with stale main summary should wait for data-dimension audit where current loader differs.
Vowel,no_mi,EBM,new non-neural tabular comparator,none; all current-loader features used,,29.0,current_loader_n_features,29,"StratifiedKFold(n_splits=5, shuffle=True, random_state=42)","accuracy, precision, recall, F1; binary average for binary tasks, weighted average for multiclass",2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,interpret,Run is comparable on split/metric/current preprocessing; direct merge with stale main summary should wait for data-dimension audit where current loader differs.
