dataset,mode,fold,model,n_features,n_train,n_val,task_kind,dependency,tuning_budget,acc,precision,recall,f1,inner_f1,inner_acc,best_params_json,status,error,runtime_sec
Breast_Cancer_Wisconsin_(Original),no_mi,1,RandomForest,80,559,140,binary,scikit-learn,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9714285714285714,0.9782608695652174,0.9375,0.9574468085106383,0.9743589743589743,0.9821428571428571,"{""class_weight"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",ok,,0.8209797292947769
Breast_Cancer_Wisconsin_(Original),no_mi,1,HistGradientBoosting,80,559,140,binary,scikit-learn,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9571428571428572,0.9772727272727273,0.8958333333333334,0.9347826086956522,0.9620253164556962,0.9732142857142857,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 31}",ok,,0.2901997733861208
Breast_Cancer_Wisconsin_(Original),no_mi,1,XGBoost,80,559,140,binary,xgboost,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9428571428571428,0.9545454545454546,0.875,0.9130434782608695,0.9620253164556962,0.9732142857142857,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""subsample"": 0.9}",ok,,0.2580320741981268
Breast_Cancer_Wisconsin_(Original),no_mi,1,LightGBM,80,559,140,binary,lightgbm,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9571428571428572,0.9565217391304348,0.9166666666666666,0.9361702127659575,0.975,0.9821428571428571,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""n_estimators"": 300, ""num_leaves"": 31, ""subsample"": 0.9}",ok,,0.1480076452717185
Breast_Cancer_Wisconsin_(Original),no_mi,1,CatBoost,80,559,140,binary,catboost,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9571428571428572,0.9772727272727273,0.8958333333333334,0.9347826086956522,0.9873417721518988,0.9910714285714286,"{""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",ok,,0.3160168519243598
Breast_Cancer_Wisconsin_(Original),no_mi,1,EBM,80,559,140,binary,interpret,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9785714285714285,1.0,0.9375,0.967741935483871,0.9873417721518988,0.9910714285714286,"{""early_stopping_rounds"": 50, ""interactions"": 0, ""learning_rate"": 0.02, ""max_bins"": 128, ""max_rounds"": 2000, ""outer_bags"": 4}",ok,,2.7781563345342875
Breast_Cancer_Wisconsin_(Original),no_mi,2,RandomForest,80,559,140,binary,scikit-learn,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9571428571428572,0.9038461538461539,0.9791666666666666,0.94,0.9620253164556962,0.9732142857142857,"{""class_weight"": ""balanced"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 500}",ok,,0.9461422115564346
Breast_Cancer_Wisconsin_(Original),no_mi,2,HistGradientBoosting,80,559,140,binary,scikit-learn,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.95,0.8867924528301887,0.9791666666666666,0.9306930693069307,0.935064935064935,0.9553571428571429,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 250, ""max_leaf_nodes"": 31}",ok,,0.26522907707840204
Breast_Cancer_Wisconsin_(Original),no_mi,2,XGBoost,80,559,140,binary,xgboost,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9428571428571428,0.8703703703703703,0.9791666666666666,0.9215686274509803,0.9487179487179487,0.9642857142857143,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.9}",ok,,0.27501207310706377
Breast_Cancer_Wisconsin_(Original),no_mi,2,LightGBM,80,559,140,binary,lightgbm,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.95,0.8867924528301887,0.9791666666666666,0.9306930693069307,0.935064935064935,0.9553571428571429,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""n_estimators"": 500, ""num_leaves"": 15, ""subsample"": 0.9}",ok,,0.16244527604430914
Breast_Cancer_Wisconsin_(Original),no_mi,2,CatBoost,80,559,140,binary,catboost,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9642857142857143,0.9215686274509803,0.9791666666666666,0.9494949494949495,0.9487179487179487,0.9642857142857143,"{""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",ok,,0.269211545586586
