dataset,mode,model,n_folds,n_folds_expected,completion_status,n_features_mean,n_features_std,dependency,tuning_budget,acc_mean,acc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,error_summary
Breast_Cancer_Wisconsin_(Original),no_mi,RandomForest,5,5,completed,80.0,0.0,scikit-learn,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9627749229188078,0.011572730140481111,0.9362068573248697,0.02792097197305995,0.9585034013605442,0.029464745851459053,0.9466594297293385,0.016703944910298456,
Breast_Cancer_Wisconsin_(Original),no_mi,HistGradientBoosting,5,5,completed,80.0,0.0,scikit-learn,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9570811921891058,0.007825579854681897,0.9396173838466702,0.029995950268211204,0.9378401360544217,0.03466364395615296,0.937732923156864,0.011124823709182368,
Breast_Cancer_Wisconsin_(Original),no_mi,XGBoost,5,5,completed,80.0,0.0,xgboost,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9513463514902364,0.01056601186649271,0.9279200788791581,0.03172784542334709,0.9335884353741497,0.04251989786089101,0.9294908560950997,0.01616234546611551,
Breast_Cancer_Wisconsin_(Original),no_mi,LightGBM,5,5,completed,80.0,0.0,lightgbm,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9570606372045221,0.012051278953931358,0.9317208275452329,0.026875665988917424,0.946173469387755,0.036056427232121116,0.9381453836873049,0.017416616631678154,
Breast_Cancer_Wisconsin_(Original),no_mi,CatBoost,5,5,completed,80.0,0.0,catboost,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9627954779033916,0.005412151251221556,0.9473266772860015,0.025713958167825665,0.9460884353741497,0.031116407725617412,0.9459211682037768,0.008655509811328111,
Breast_Cancer_Wisconsin_(Original),no_mi,EBM,5,5,completed,80.0,0.0,interpret,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.97136690647482,0.007937351944034469,0.9521874134269093,0.026530634041339506,0.9668367346938777,0.028211563879488272,0.9588245157300456,0.011436576052301679,
Vowel,no_mi,RandomForest,5,5,completed,29.0,0.0,scikit-learn,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9757575757575758,0.008080808080808086,0.9777255811705572,0.0074878747224697674,0.9757575757575758,0.008080808080808086,0.9755115652019677,0.008335805234878575,
Vowel,no_mi,HistGradientBoosting,5,5,completed,29.0,0.0,scikit-learn,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9151515151515153,0.020552515100379597,0.9192371861025113,0.019814729205198455,0.9151515151515153,0.020552515100379597,0.9142891320938041,0.02131011309702531,
Vowel,no_mi,XGBoost,5,5,completed,29.0,0.0,xgboost,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9202020202020202,0.019004937093158356,0.9250245720707608,0.019433383855956353,0.9202020202020202,0.019004937093158356,0.9195712877941151,0.018927611797503466,
Vowel,no_mi,LightGBM,5,5,completed,29.0,0.0,lightgbm,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9393939393939394,0.02045298659728948,0.942759020383563,0.019431834653836376,0.9393939393939394,0.02045298659728948,0.93897305143787,0.02062641593162746,
Vowel,no_mi,CatBoost,5,5,completed,29.0,0.0,catboost,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.904040404040404,0.016597653257732305,0.9071494195206549,0.017207759507876445,0.904040404040404,0.016597653257732305,0.903101452537254,0.016637859466210454,
Vowel,no_mi,EBM,5,5,completed,29.0,0.0,interpret,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.904040404040404,0.013551927136362366,0.9098384809361448,0.012768705564267383,0.904040404040404,0.013551927136362366,0.9027272922939693,0.01449761547701097,
