dataset,variant,variant_label,component,n_folds,acc_mean,acc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,selected_feature_count_mean,selected_feature_count_std,base_active_features_mean,base_active_features_std,residual_active_features_mean,residual_active_features_std,union_active_features_mean,union_active_features_std,overlap_active_features_mean,overlap_active_features_std,mask_overlap_rate_mean,mask_overlap_rate_std,mask_disjointness_rate_mean,mask_disjointness_rate_std,base_rule_count_mean,base_rule_count_std,residual_rule_count_mean,residual_rule_count_std,total_rule_count_mean,total_rule_count_std,rule_weight_entropy_mean,rule_weight_entropy_std,rule_weight_entropy_norm_mean,rule_weight_entropy_norm_std,effective_rule_count_mean,effective_rule_count_std,near_zero_rule_weight_rate_mean,near_zero_rule_weight_rate_std,near_zero_rule_firing_rate_mean,near_zero_rule_firing_rate_std,near_zero_firing_or_weight_rate_mean,near_zero_firing_or_weight_rate_std,nonfinite_rule_weight_count_mean,nonfinite_rule_weight_count_std,nonfinite_rule_firing_count_mean,nonfinite_rule_firing_count_std,nonfinite_logit_count_mean,nonfinite_logit_count_std,train_seconds_mean,train_seconds_std
Breast_Cancer_Wisconsin_(Original),no_disjoint,No disjoint complementary routing,complementary,5,0.9199177800616649,0.014439990051234938,0.9033196600147819,0.04424003941932895,0.8633503401360544,0.03466802424749174,0.8815372670807454,0.020277952100756627,73.8,2.5612496949731396,38.0,3.8987177379235853,69.4,3.1999999999999997,73.8,2.5612496949731396,33.6,2.576819745345025,0.45652635889478,0.045926927464368904,0.5434736411052201,0.045926927464368904,6.0,0.0,11.0,0.0,17.0,0.0,2.6504709264308306,0.1487801547873753,0.935499950000463,0.05251286758353905,14.317518114225226,1.9396164983463136,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.466938337869942,0.035174674540336286
Breast_Cancer_Wisconsin_(Original),prod_firing,Product firing instead of HTSK,complementary,5,0.8341418293936279,0.11379156016334048,0.7615526382258594,0.15252927569177455,0.8380102040816325,0.0386993523495606,0.7903607503084957,0.10604189426756021,78.4,1.9595917942265424,24.4,5.351635264103861,54.0,5.727128425310541,78.4,1.9595917942265424,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,11.0,0.0,17.0,0.0,1.1663680800172647,0.17246019860165354,0.4116767589840073,0.06087088472281757,3.8296154383973495,0.8317644534052098,0.221726456284523,0.039801320531154497,,,0.221726456284523,0.039801320531154497,0.0,0.0,0.0,0.0,0.0,0.0,3.47170548401773,0.05505984398356291
Breast_Cancer_Wisconsin_(Original),no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",complementary,5,0.8012744090441932,0.08523956195359049,0.6976941609977324,0.11777578400879037,0.8133503401360545,0.06822727808131929,0.7449767482702254,0.08338800388427046,78.6,1.019803902718557,37.4,4.498888751680797,41.2,5.268775948927796,78.6,1.019803902718557,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,11.0,0.0,17.0,0.0,2.750466563214011,0.059636430372317806,0.9707940217236943,0.021049043637148837,15.680010690444055,0.8880734375942122,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6376658024266364,0.06919595909218909
Breast_Cancer_Wisconsin_(Original),joint_training_same_budget,"Joint training, same epoch budget",complementary,5,0.8240801644398769,0.01913774486174609,0.7701818181818182,0.05301925426025954,0.7092687074829932,0.07417793413375255,0.7340716435204986,0.035892376434560135,52.6,1.8547236990991407,24.0,2.6832815729997477,28.6,3.4409301068170506,52.6,1.8547236990991407,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,11.0,0.0,17.0,0.0,2.7213202380472437,0.06303281790158584,0.9605066490301983,0.022247819791386046,15.23433595475043,0.9253196378145582,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.997562346979976,0.13963536463021478
Breast_Cancer_Wisconsin_(Original),full_grs,Full GRS-ANFIS,complementary,5,0.7154573484069887,0.12286968945779213,0.6324474518645278,0.14090208638425808,0.6892006802721089,0.0986240604922223,0.6383830478458863,0.06480196645146577,72.2,2.4,37.4,4.31740662898458,34.8,6.554387843269575,72.2,2.4,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,11.0,0.0,17.0,0.0,2.6483770215597087,0.1065538987410896,0.9347608932151333,0.03760884944941502,14.216196709776955,1.421283205362373,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.460103601589799,0.022430285929417742
Breast_Cancer_Wisconsin_(Original),dense_tsk_same_rules,"Dense TSK-ANFIS, same total rules/epochs",full,5,0.9628057553956835,0.0114226085577807,0.9446624631891594,0.035219000996892576,0.9505102040816326,0.04200938464620184,0.9462427451573682,0.016655006837228203,80.0,0.0,,,,,,,,,,,,,,,,,17.0,0.0,2.5827427868705857,0.13117839350901053,0.9115948884000759,0.04630021715942207,13.360204543077444,1.6689724913211013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605169452726842,0.03463233585633126
Breast_Cancer_Wisconsin_(Original),full_grs,Full GRS-ANFIS,full,5,0.9556320657759507,0.01392759857809935,0.9540164671929379,0.02147505548231119,0.9173469387755102,0.05645426030754573,0.9338115122927786,0.02256335401959959,72.2,2.4,37.4,4.31740662898458,34.8,6.554387843269575,72.2,2.4,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,11.0,0.0,17.0,0.0,2.6483770215597087,0.1065538987410896,0.9347608932151333,0.03760884944941502,14.216196709776955,1.421283205362373,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.460103601589799,0.022430285929417742
Breast_Cancer_Wisconsin_(Original),joint_training_same_budget,"Joint training, same epoch budget",full,5,0.9527954779033916,0.009662515435436747,0.9463618920761778,0.03033377937661828,0.9172619047619047,0.040781412221334856,0.9304160051666883,0.014880714627430907,52.6,1.8547236990991407,24.0,2.6832815729997477,28.6,3.4409301068170506,52.6,1.8547236990991407,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,11.0,0.0,17.0,0.0,2.7213202380472437,0.06303281790158584,0.9605066490301983,0.022247819791386046,15.23433595475043,0.9253196378145582,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.997562346979976,0.13963536463021478
Breast_Cancer_Wisconsin_(Original),prod_firing,Product firing instead of HTSK,full,5,0.9513874614594039,0.01985650343586448,0.9382228163992871,0.038281682259226166,0.9213435374149659,0.04775627094137012,0.9286384828911377,0.029319293952815163,78.4,1.9595917942265424,24.4,5.351635264103861,54.0,5.727128425310541,78.4,1.9595917942265424,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,11.0,0.0,17.0,0.0,1.1663680800172647,0.17246019860165354,0.4116767589840073,0.06087088472281757,3.8296154383973495,0.8317644534052098,0.221726456284523,0.039801320531154497,,,0.221726456284523,0.039801320531154497,0.0,0.0,0.0,0.0,0.0,0.0,3.47170548401773,0.05505984398356291
Breast_Cancer_Wisconsin_(Original),no_disjoint,No disjoint complementary routing,full,5,0.9499280575539568,0.006390385699844986,0.9421382699987351,0.026411816914309546,0.9130102040816326,0.045995148705868835,0.9259579057126303,0.011480177511470024,73.8,2.5612496949731396,38.0,3.8987177379235853,69.4,3.1999999999999997,73.8,2.5612496949731396,33.6,2.576819745345025,0.45652635889478,0.045926927464368904,0.5434736411052201,0.045926927464368904,6.0,0.0,11.0,0.0,17.0,0.0,2.6504709264308306,0.1487801547873753,0.935499950000463,0.05251286758353905,14.317518114225226,1.9396164983463136,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.466938337869942,0.035174674540336286
Breast_Cancer_Wisconsin_(Original),no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",full,5,0.9413463514902365,0.008317444407121151,0.9332432933981115,0.031249859843301413,0.8962585034013605,0.04565146669801878,0.9129374951225101,0.014314072563435908,78.6,1.019803902718557,37.4,4.498888751680797,41.2,5.268775948927796,78.6,1.019803902718557,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,11.0,0.0,17.0,0.0,2.750466563214011,0.059636430372317806,0.9707940217236943,0.021049043637148837,15.680010690444055,0.8880734375942122,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6376658024266364,0.06919595909218909
Breast_Cancer_Wisconsin_(Original),primary_only_same_budget,"Primary-only, same epoch budget",primary,5,0.9527852004110997,0.009711300302959136,0.9388806688708249,0.029944051976830924,0.9255102040816325,0.04431602095794793,0.9308465450777985,0.015048638646421622,37.0,4.049691346263317,37.0,4.049691346263317,0.0,0.0,37.0,4.049691346263317,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,1.4920911143213236,0.2778477430550218,0.5266426982339338,0.09806806350049992,4.610444981752908,1.032348775054302,0.6470588445663452,0.0,,,0.6470588445663452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1263215815648437,0.061651296120290834
Breast_Cancer_Wisconsin_(Original),prod_firing,Product firing instead of HTSK,primary,5,0.9513977389516958,0.02273097856395332,0.9340589569160997,0.03761777234350873,0.9255102040816328,0.04431602095794793,0.9290863317285959,0.032805504489439793,78.4,1.9595917942265424,24.4,5.351635264103861,54.0,5.727128425310541,78.4,1.9595917942265424,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,11.0,0.0,17.0,0.0,0.23986728858787912,0.1339327561504959,0.08466262922483754,0.04727238684357931,1.3300279234198114,0.18400025061047612,0.7770684798558553,0.022886492040515096,,,0.7770684798558553,0.022886492040515096,0.0,0.0,0.0,0.0,0.0,0.0,3.47170548401773,0.05505984398356291
Breast_Cancer_Wisconsin_(Original),joint_training_same_budget,"Joint training, same epoch budget",primary,5,0.9499177800616649,0.006482124462805019,0.9382413632119514,0.02603648896760437,0.9171768707482993,0.04322321654202938,0.9263146335258797,0.011409143948960816,52.6,1.8547236990991407,24.0,2.6832815729997477,28.6,3.4409301068170506,52.6,1.8547236990991407,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,11.0,0.0,17.0,0.0,1.6592877956786847,0.12631059811788048,0.5856557888763537,0.044582100663393305,5.301418878434251,0.6214904924914825,0.6470588445663452,0.0,,,0.6470588445663452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.997562346979976,0.13963536463021478
Breast_Cancer_Wisconsin_(Original),no_disjoint,No disjoint complementary routing,primary,5,0.9499280575539568,0.007825930785413915,0.9453562341074555,0.02221675817141299,0.9088435374149659,0.04251241471800042,0.9256688038800821,0.013073631391038697,73.8,2.5612496949731396,38.0,3.8987177379235853,69.4,3.1999999999999997,73.8,2.5612496949731396,33.6,2.576819745345025,0.45652635889478,0.045926927464368904,0.5434736411052201,0.045926927464368904,6.0,0.0,11.0,0.0,17.0,0.0,1.5167520159360437,0.29756083583603626,0.5353469178046867,0.10502592134271396,4.749052936076383,1.168370877612678,0.6470588445663452,0.0,,,0.6470588445663452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.466938337869942,0.035174674540336286
Breast_Cancer_Wisconsin_(Original),full_grs,Full GRS-ANFIS,primary,5,0.9499075025693731,0.01288185984061842,0.9533534343970146,0.021407782580912613,0.9006802721088436,0.0572643317282061,0.9246446566034194,0.021427394746671945,72.2,2.4,37.4,4.31740662898458,34.8,6.554387843269575,72.2,2.4,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,11.0,0.0,17.0,0.0,1.512573047582929,0.21310704787846427,0.5338719229781492,0.07521743799168257,4.644120042015322,0.8691065793039991,0.6470588445663452,0.0,,,0.6470588445663452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.460103601589799,0.022430285929417742
Breast_Cancer_Wisconsin_(Original),no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",primary,5,0.9299075025693732,0.012247347376843541,0.9211040506090938,0.04470459385654154,0.8754251700680273,0.0477009742279187,0.8957228565869173,0.019011301308266938,78.6,1.019803902718557,37.4,4.498888751680797,41.2,5.268775948927796,78.6,1.019803902718557,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,11.0,0.0,17.0,0.0,1.7167658257704967,0.1192720932373843,0.6059430151877644,0.04209781630399429,5.607805201046759,0.6027890062438783,0.6470588445663452,0.0,,,0.6470588445663452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6376658024266364,0.06919595909218909
