dataset,fold,variant,variant_label,component,task_kind,n_train,n_val,n_features,n_outputs,seed,train_seconds,criterion,variant_meta,acc,precision,recall,f1,base_active_features,residual_active_features,union_active_features,overlap_active_features,mask_overlap_rate,mask_disjointness_rate,base_prob_mean,residual_prob_mean,base_rule_count,residual_rule_count,total_rule_count,selected_feature_count,rule_weight_entropy,rule_weight_entropy_norm,effective_rule_count,near_zero_rule_weight_rate,near_zero_rule_firing_rate,near_zero_firing_or_weight_rate,nonfinite_rule_weight_count,nonfinite_rule_firing_count,nonfinite_logit_count
Vowel,1,full_grs,Full GRS-ANFIS,primary,multiclass,792,198,29,11,42001,18.782054007984698,CrossEntropyLoss,"{""label"": ""Full GRS-ANFIS""}",0.9696969696969697,0.9708732057416267,0.9696969696969697,0.9694973088161942,20.0,7.0,27.0,0.0,0.0,1.0,0.6330071091651917,0.5439028739929199,6.0,11.0,17.0,27.0,1.5128139444071838,0.5339569505115952,4.57968273909405,0.6470588445663452,,0.6470588445663452,0.0,0.0,0.0
Vowel,1,full_grs,Full GRS-ANFIS,complementary,multiclass,792,198,29,11,42001,18.782054007984698,CrossEntropyLoss,"{""label"": ""Full GRS-ANFIS""}",0.11616161616161616,0.06007477371113734,0.11616161616161616,0.06772691025083369,20.0,7.0,27.0,0.0,0.0,1.0,0.6330071091651917,0.5439028739929199,6.0,11.0,17.0,27.0,2.646360305824665,0.9340490801165803,14.134213640232279,0.0,,0.0,0.0,0.0,0.0
Vowel,1,full_grs,Full GRS-ANFIS,full,multiclass,792,198,29,11,42001,18.782054007984698,CrossEntropyLoss,"{""label"": ""Full GRS-ANFIS""}",0.9696969696969697,0.9714959747854486,0.9696969696969697,0.9696094931389048,20.0,7.0,27.0,0.0,0.0,1.0,0.6330071091651917,0.5439028739929199,6.0,11.0,17.0,27.0,2.646360305824665,0.9340490801165803,14.134213640232279,0.0,,0.0,0.0,0.0,0.0
Vowel,1,primary_only_same_budget,"Primary-only, same epoch budget",primary,multiclass,792,198,29,11,42001,15.06682913005352,CrossEntropyLoss,"{""label"": ""Primary-only, same epoch budget""}",0.9797979797979798,0.9797667073208869,0.9797979797979798,0.9796497796497796,17.0,0.0,17.0,0.0,0.0,1.0,0.6090031266212463,0.5,6.0,0.0,6.0,17.0,1.4438875660751804,0.5096289610320871,4.313656352987193,0.6470588445663452,,0.6470588445663452,0.0,0.0,0.0
Vowel,1,no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",primary,multiclass,792,198,29,11,42001,19.0352751230821,CrossEntropyLoss,"{""label"": ""No hard fine-tune, same epoch budget"", ""scope_note"": ""removes hard-mask fine-tuning phases, not the thresholded complement used between stages""}",0.46464646464646464,0.4359074939114465,0.46464646464646464,0.42169362440314745,18.0,9.0,27.0,0.0,0.0,1.0,0.6136893630027771,0.5952891111373901,6.0,11.0,17.0,27.0,0.9831492988900705,0.3470085668142396,2.852376680181484,0.6470588445663452,,0.6470588445663452,0.0,0.0,0.0
Vowel,1,no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",complementary,multiclass,792,198,29,11,42001,19.0352751230821,CrossEntropyLoss,"{""label"": ""No hard fine-tune, same epoch budget"", ""scope_note"": ""removes hard-mask fine-tuning phases, not the thresholded complement used between stages""}",0.07575757575757576,0.02374535872559588,0.07575757575757576,0.03459432279758959,18.0,9.0,27.0,0.0,0.0,1.0,0.6136893630027771,0.5952891111373901,6.0,11.0,17.0,27.0,1.6633919712268945,0.5871043844957544,5.361444278196855,0.0,,0.0,0.0,0.0,0.0
Vowel,1,no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",full,multiclass,792,198,29,11,42001,19.0352751230821,CrossEntropyLoss,"{""label"": ""No hard fine-tune, same epoch budget"", ""scope_note"": ""removes hard-mask fine-tuning phases, not the thresholded complement used between stages""}",0.5656565656565656,0.5742017260241297,0.5656565656565656,0.5642753620694798,18.0,9.0,27.0,0.0,0.0,1.0,0.6136893630027771,0.5952891111373901,6.0,11.0,17.0,27.0,1.6633919712268945,0.5871043844957544,5.361444278196855,0.0,,0.0,0.0,0.0,0.0
Vowel,1,no_disjoint,No disjoint complementary routing,primary,multiclass,792,198,29,11,42001,19.68253285624087,CrossEntropyLoss,"{""label"": ""No disjoint complementary routing""}",0.9545454545454546,0.9565922381711857,0.9545454545454546,0.9536428555567311,17.0,27.0,27.0,17.0,0.6296296296296297,0.37037037037037035,0.6203099489212036,0.6210570931434631,6.0,11.0,17.0,27.0,1.4412814700844312,0.5087091251455172,4.29227529150067,0.6470588445663452,,0.6470588445663452,0.0,0.0,0.0
Vowel,1,no_disjoint,No disjoint complementary routing,complementary,multiclass,792,198,29,11,42001,19.68253285624087,CrossEntropyLoss,"{""label"": ""No disjoint complementary routing""}",0.24242424242424243,0.3311932732053053,0.24242424242424243,0.2582737178669857,17.0,27.0,27.0,17.0,0.6296296296296297,0.37037037037037035,0.6203099489212036,0.6210570931434631,6.0,11.0,17.0,27.0,2.6112797115788315,0.9216671709460441,13.670392108686043,0.0,,0.0,0.0,0.0,0.0
Vowel,1,no_disjoint,No disjoint complementary routing,full,multiclass,792,198,29,11,42001,19.68253285624087,CrossEntropyLoss,"{""label"": ""No disjoint complementary routing""}",0.9696969696969697,0.970607389686337,0.9696969696969697,0.9695012088200942,17.0,27.0,27.0,17.0,0.6296296296296297,0.37037037037037035,0.6203099489212036,0.6210570931434631,6.0,11.0,17.0,27.0,2.6112797115788315,0.9216671709460441,13.670392108686043,0.0,,0.0,0.0,0.0,0.0
Vowel,1,prod_firing,Product firing instead of HTSK,primary,multiclass,792,198,29,11,42001,18.44122057594359,CrossEntropyLoss,"{""label"": ""Product firing instead of HTSK""}",0.9646464646464646,0.9665071770334929,0.9646464646464646,0.9642749214941728,26.0,2.0,28.0,0.0,0.0,1.0,0.7577622532844543,0.5011241436004639,6.0,11.0,17.0,28.0,0.7228293252704345,0.25512703887252797,2.228857919423267,0.6475183963775635,,0.6475183963775635,0.0,0.0,0.0
Vowel,1,prod_firing,Product firing instead of HTSK,complementary,multiclass,792,198,29,11,42001,18.44122057594359,CrossEntropyLoss,"{""label"": ""Product firing instead of HTSK""}",0.06565656565656566,0.011941329698339045,0.06565656565656566,0.020190158465387825,26.0,2.0,28.0,0.0,0.0,1.0,0.7577622532844543,0.5011241436004639,6.0,11.0,17.0,28.0,2.2534535509167295,0.7953702325772758,9.711695174978237,0.0011488970776554197,,0.0011488970776554197,0.0,0.0,0.0
