dataset,variant,variant_label,full_acc,full_f1,selected_features,mask_overlap_rate,primary_f1,full_minus_primary_f1,source
Breast Cancer,full_grs,Full GRS-ANFIS,0.9556 +/- 0.0139,0.9338 +/- 0.0226,72.20,0.0000,0.9246,0.0092,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/rebuttal_full_completion/artifacts/legacy_preprocessing_bcwvowel/mat6_architecture_bcwd/attribution_summary.csv
Breast Cancer,primary_only_same_budget,"Primary-only, same epoch budget",0.9528 +/- 0.0097,0.9308 +/- 0.0150,37.00,0.0000,0.9308,0.0000,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/rebuttal_full_completion/artifacts/legacy_preprocessing_bcwvowel/mat6_architecture_bcwd/attribution_summary.csv
Breast Cancer,joint_training_same_budget,"Joint training, same epoch budget",0.9528 +/- 0.0097,0.9304 +/- 0.0149,52.60,0.0000,0.9263,0.0041,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/rebuttal_full_completion/artifacts/legacy_preprocessing_bcwvowel/mat6_architecture_bcwd/attribution_summary.csv
Breast Cancer,no_disjoint,No disjoint complementary routing,0.9499 +/- 0.0064,0.9260 +/- 0.0115,73.80,0.4565,0.9257,0.0003,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/rebuttal_full_completion/artifacts/legacy_preprocessing_bcwvowel/mat6_architecture_bcwd/attribution_summary.csv
Breast Cancer,no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",0.9413 +/- 0.0083,0.9129 +/- 0.0143,78.60,0.0000,0.8957,0.0172,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/rebuttal_full_completion/artifacts/legacy_preprocessing_bcwvowel/mat6_architecture_bcwd/attribution_summary.csv
Breast Cancer,dense_tsk_same_rules,"Dense TSK-ANFIS, same total rules/epochs",0.9628 +/- 0.0114,0.9462 +/- 0.0167,80.00,,,,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/rebuttal_full_completion/artifacts/legacy_preprocessing_bcwvowel/mat6_architecture_bcwd/attribution_summary.csv
Breast Cancer,prod_firing,Product firing instead of HTSK,0.9514 +/- 0.0199,0.9286 +/- 0.0293,78.40,0.0000,0.9291,-0.0004,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/rebuttal_full_completion/artifacts/legacy_preprocessing_bcwvowel/mat6_architecture_bcwd/attribution_summary.csv
Gisette,full_grs,Full GRS-ANFIS,0.9705 +/- 0.0032,0.9704 +/- 0.0032,2698.00,0.0000,0.9701,0.0003,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/rebuttal_full_completion/artifacts/gisette_full_completion/mat6_architecture_gisette/attribution_summary.csv
Gisette,primary_only_same_budget,"Primary-only, same epoch budget",0.9710 +/- 0.0040,0.9710 +/- 0.0039,2287.00,0.0000,0.9710,0.0000,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/rebuttal_full_completion/artifacts/gisette_full_completion/mat6_architecture_gisette/attribution_summary.csv
Gisette,joint_training_same_budget,"Joint training, same epoch budget",0.9687 +/- 0.0037,0.9686 +/- 0.0036,3333.50,0.0000,0.9687,-0.0000,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/rebuttal_full_completion/artifacts/gisette_full_completion/mat6_architecture_gisette/attribution_summary.csv
