dataset,comparator,acc_delta,acc_p,f1_delta,f1_p
Breast Cancer,ANFIS,+0.0100,0.0249,+0.0144,0.0301
Vowel,GA-ANFIS,+0.1909,0.0019,+0.1944,0.0020
Vowel,PSO-ANFIS,+0.1455,0.0032,+0.1466,0.0036
Vowel,H-ANFIS(Avg),+0.0273,0.0197,+0.0271,0.0202
Vowel,SVM,+0.1141,<0.001,+0.1152,<0.001
Spambase,GRS-ANFIS(base),+0.0061,0.0175,+0.0076,0.0216
Spambase,GA-ANFIS,+0.0154,0.0020,+0.0229,<0.001
Spambase,PSO-ANFIS,+0.0352,0.0011,+0.0520,<0.001
Spambase,H-ANFIS(Avg),+0.0130,0.0026,+0.0188,0.0014
Spambase,SVM,+0.2204,<0.001,+0.3624,<0.001
Gisette,ANFIS,+0.0263,<0.001,+0.0268,<0.001
Gisette,GA-ANFIS,+0.0470,<0.001,+0.0469,<0.001
Gisette,PSO-ANFIS,+0.0527,<0.001,+0.0525,<0.001
Gisette,H-ANFIS(Avg),+0.0035,0.0146,+0.0036,0.0118
