dataset,lambda,full_acc,full_f1,selected_features,mask_jaccard,pc_overlap,source
Breast Cancer,0,0.9714 +/- 0.0101,0.9567 +/- 0.0156,69.2 +/- 3.2,0.8102,0.0000,MAT-5 targeted rerun
Breast Cancer,0.01,0.9771 +/- 0.0083,0.9658 +/- 0.0126,40.6 +/- 2.7,0.7334,0.0000,MAT-5 targeted rerun
Breast Cancer,0.1,0.9600 +/- 0.0035,0.9402 +/- 0.0049,13.2 +/- 1.3,0.6486,0.0000,MAT-5 targeted rerun
Vowel,0,0.9616 +/- 0.0118,0.9614 +/- 0.0119,26.8 +/- 1.3,0.9152,0.0000,MAT-5 targeted rerun
Vowel,0.01,0.9545 +/- 0.0090,0.9544 +/- 0.0091,21.4 +/- 3.1,0.7880,0.0000,MAT-5 targeted rerun
Vowel,0.1,0.9394 +/- 0.0146,0.9387 +/- 0.0146,10.0 +/- 0.0,1.0000,0.0000,MAT-5 targeted rerun
Spambase,0,0.9309 +/- 0.0023,0.9117 +/- 0.0033,47.4 +/- 1.4,0.8778,0.0000,MAT-5 targeted rerun
Spambase,0.01,0.9262 +/- 0.0045,0.9055 +/- 0.0054,26.8 +/- 2.3,0.7707,0.0000,MAT-5 targeted rerun
Spambase,0.1,0.9058 +/- 0.0064,0.8776 +/- 0.0077,9.2 +/- 0.4,0.9000,0.0000,MAT-5 targeted rerun
Gisette,0.0,0.9752 +/- 0.0008,0.9751 +/- 0.0008,4543.8 +/- 26.9,0.8761,0.0000,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/rebuttal_full_completion/artifacts/gisette_full_completion/mat5_threshold_sparsity_seed_rerun/lambda_seed_summary.csv
Gisette,0.01,0.9760 +/- 0.0010,0.9759 +/- 0.0010,2399.6 +/- 12.3,0.8557,0.0000,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/rebuttal_full_completion/artifacts/gisette_full_completion/mat5_threshold_sparsity_seed_rerun/lambda_seed_summary.csv
Gisette,0.1,0.9692 +/- 0.0020,0.9691 +/- 0.0021,358.0 +/- 5.9,0.8170,0.0000,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/rebuttal_full_completion/artifacts/gisette_full_completion/mat5_threshold_sparsity_seed_rerun/lambda_seed_summary.csv
